Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.500000,0.700000,5,50,500,1000,0.500000,0.221114,0.107868,0.573118,0.418667,0.000000
0,1,0.500000,0.700000,5,50,600,1000,0.500000,0.216968,0.105024,0.568493,0.414670,0.000000
0,1,0.500000,0.700000,10,50,500,1000,0.500000,0.446630,0.179965,0.570983,0.234859,0.000000
0,1,0.500000,0.700000,10,50,600,1000,0.500000,0.440428,0.176694,0.561344,0.234354,0.000000
0,1,0.500000,0.700000,15,50,500,1000,0.500000,0.680149,0.229475,0.729774,0.223163,0.000000
0,1,0.500000,0.700000,15,50,600,1000,0.500000,0.668188,0.232286,0.712047,0.216623,0.000000
0,1,0.500000,0.700000,20,50,500,1000,0.500000,0.850231,0.223623,0.863752,0.224764,0.000000
0,1,0.500000,0.700000,20,50,600,1000,0.500000,0.826412,0.208053,0.857214,0.200252,0.000000
0,1,0.500000,0.700000,25,50,500,1000,0.500000,0.932139,0.147946,0.911511,0.174169,0.000000
0,1,0.500000,0.700000,25,50,600,1000,0.500000,1.170191,0.563440,1.133910,0.484362,0.000000
0,1,0.500000,0.700000,30,50,500,1000,0.500000,nan,nan,nan,nan,0.000000
0,1,0.500000,0.700000,30,50,600,1000,0.500000,nan,nan,nan,nan,0.000000
0,1,0.500000,0.700000,5,100,500,1000,0.500000,0.103929,0.048798,0.486055,0.402884,0.000000
0,1,0.500000,0.700000,5,100,600,1000,0.500000,0.104247,0.049137,0.485752,0.408814,0.000000
0,1,0.500000,0.700000,10,100,500,1000,0.500000,0.213930,0.080595,0.387397,0.213544,0.000000
0,1,0.500000,0.700000,10,100,600,1000,0.500000,0.214270,0.076261,0.382245,0.215063,0.000000
0,1,0.500000,0.700000,15,100,500,1000,0.500000,0.324875,0.105568,0.421749,0.161074,0.000000
0,1,0.500000,0.700000,15,100,600,1000,0.500000,0.323425,0.103265,0.421340,0.160848,0.000000
0,1,0.500000,0.700000,20,100,500,1000,0.500000,0.431045,0.124376,0.491030,0.142604,0.000000
0,1,0.500000,0.700000,20,100,600,1000,0.500000,0.436043,0.132461,0.491035,0.140267,0.000000
0,1,0.500000,0.700000,25,100,500,1000,0.500000,0.521198,0.131767,0.566276,0.126921,0.000000
0,1,0.500000,0.700000,25,100,600,1000,0.500000,0.526411,0.130207,0.567502,0.125622,0.000000
0,1,0.500000,0.700000,30,100,500,1000,0.500000,0.622846,0.111891,0.660802,0.148786,0.000000
0,1,0.500000,0.700000,30,100,600,1000,0.500000,0.626568,0.119897,0.648181,0.128499,0.000000
1,1,0.500000,0.700000,5,50,500,1000,0.500000,0.215283,0.105359,0.561205,0.400491,0.000000
