Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.900000,0.910000,5,50,500,1000,0.100000,4.045403,3.499636,3.130524,2.447736,0.000000
0,1,0.900000,0.910000,5,50,600,1000,0.100000,4.010697,3.257491,3.162205,2.498480,0.000000
0,1,0.900000,0.920000,5,50,500,1000,0.100000,4.121250,3.544192,3.157546,2.495047,0.000000
0,1,0.900000,0.920000,5,50,600,1000,0.100000,4.222802,3.544975,3.143429,2.484441,0.000000
0,1,0.900000,0.930000,5,50,500,1000,0.100000,4.343984,3.615472,3.172825,2.516002,0.000000
0,1,0.900000,0.930000,5,50,600,1000,0.100000,4.337841,3.612300,3.149279,2.486234,0.000000
0,1,0.900000,0.940000,5,50,500,1000,0.100000,4.718410,4.021941,3.166736,2.505245,0.000000
0,1,0.900000,0.940000,5,50,600,1000,0.100000,4.847858,4.416354,3.164050,2.496472,0.000000
0,1,0.900000,0.950000,5,50,500,1000,0.100000,4.820749,4.066411,3.185914,2.523244,0.000000
0,1,0.900000,0.950000,5,50,600,1000,0.100000,4.916406,4.418881,3.170258,2.493421,0.000000
0,1,0.900000,0.960000,5,50,500,1000,0.100000,5.435688,4.883290,3.163922,2.496263,0.000000
0,1,0.900000,0.960000,5,50,600,1000,0.100000,5.394920,4.479217,3.166274,2.510591,0.000000
0,1,0.900000,0.970000,5,50,500,1000,0.100000,5.761031,4.918260,3.174064,2.511874,0.000000
0,1,0.900000,0.970000,5,50,600,1000,0.100000,5.758428,4.989914,3.180077,2.501146,0.000000
0,1,0.900000,0.980000,5,50,500,1000,0.100000,6.077652,5.600606,3.173802,2.508664,0.000000
0,1,0.900000,0.980000,5,50,600,1000,0.100000,6.295944,5.580024,3.186450,2.533874,0.000000
1,1,0.900000,0.910000,5,50,500,1000,0.100000,4.047264,3.550039,3.145436,2.473741,0.000000
1,1,0.900000,0.910000,5,50,600,1000,0.100000,3.973403,3.334455,3.144269,2.471945,0.000000
1,1,0.900000,0.920000,5,50,500,1000,0.100000,4.147833,3.517972,3.160259,2.483810,0.000000
1,1,0.900000,0.920000,5,50,600,1000,0.100000,4.075627,3.379279,3.158422,2.486632,0.000000
1,1,0.900000,0.930000,5,50,500,1000,0.100000,4.444046,3.760832,3.172016,2.501500,0.000000
1,1,0.900000,0.930000,5,50,600,1000,0.100000,4.177420,3.512580,3.152543,2.479031,0.000000
1,1,0.900000,0.940000,5,50,500,1000,0.100000,4.804454,4.130489,3.167318,2.503784,0.000000
1,1,0.900000,0.940000,5,50,600,1000,0.100000,4.687698,4.090670,3.172297,2.514324,0.000000
1,1,0.900000,0.950000,5,50,500,1000,0.100000,4.967317,4.294380,3.179362,2.515324,0.000000
1,1,0.900000,0.950000,5,50,600,1000,0.100000,4.845406,4.415793,3.166861,2.499236,0.000000
1,1,0.900000,0.960000,5,50,500,1000,0.100000,5.583602,4.850800,3.173655,2.513922,0.000000
1,1,0.900000,0.960000,5,50,600,1000,0.100000,5.093259,4.399954,3.186287,2.513751,0.000000
1,1,0.900000,0.970000,5,50,500,1000,0.100000,5.967114,5.261268,3.174227,2.515264,0.000000
1,1,0.900000,0.970000,5,50,600,1000,0.100000,5.925113,5.431757,3.168641,2.512476,0.000000
1,1,0.900000,0.980000,5,50,500,1000,0.100000,6.061747,5.446766,3.167946,2.497411,0.000000
1,1,0.900000,0.980000,5,50,600,1000,0.100000,6.641567,7.009988,3.173597,2.523702,0.000000
2,1,0.900000,0.910000,5,50,500,1000,0.100000,3.778769,3.171942,3.152110,2.489180,0.000000
2,1,0.900000,0.910000,5,50,600,1000,0.100000,3.996245,3.512140,3.147081,2.475964,0.000000
2,1,0.900000,0.920000,5,50,500,1000,0.100000,4.165587,3.481995,3.158972,2.494734,0.000000
2,1,0.900000,0.920000,5,50,600,1000,0.100000,4.314307,3.666333,3.171570,2.504580,0.000000
2,1,0.900000,0.930000,5,50,500,1000,0.100000,4.304234,3.662379,3.159205,2.497704,0.000000
2,1,0.900000,0.930000,5,50,600,1000,0.100000,4.389407,3.894082,3.154769,2.473688,0.000000
2,1,0.900000,0.940000,5,50,500,1000,0.100000,4.656890,4.242029,3.169650,2.497826,0.000000
2,1,0.900000,0.940000,5,50,600,1000,0.100000,4.584007,3.856728,3.166914,2.504691,0.000000
2,1,0.900000,0.950000,5,50,500,1000,0.100000,4.913348,4.581611,3.163541,2.503743,0.000000
2,1,0.900000,0.950000,5,50,600,1000,0.100000,5.052295,4.532835,3.173676,2.500949,0.000000
2,1,0.900000,0.960000,5,50,500,1000,0.100000,5.479985,4.853442,3.165691,2.514880,0.000000
2,1,0.900000,0.960000,5,50,600,1000,0.100000,5.171170,4.406920,3.166204,2.496466,0.000000
2,1,0.900000,0.970000,5,50,500,1000,0.100000,5.836571,5.015484,3.162644,2.495739,0.000000
2,1,0.900000,0.970000,5,50,600,1000,0.100000,5.980179,5.489567,3.183318,2.524891,0.000000
2,1,0.900000,0.980000,5,50,500,1000,0.100000,6.177658,5.312811,3.180914,2.513938,0.000000
2,1,0.900000,0.980000,5,50,600,1000,0.100000,6.614446,6.232658,3.176661,2.502261,0.000000
