Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.900000,0.758030,5,50,5,1000,0.100000,2.313979,1.759534,3.094156,2.396748,0.000000
0,1,0.900000,0.758030,5,50,6,1000,0.100000,2.345289,1.782963,3.097398,2.398459,0.000000
0,1,0.900000,0.766360,5,50,5,1000,0.100000,2.346924,1.723795,3.101804,2.414952,0.000000
0,1,0.900000,0.766360,5,50,6,1000,0.100000,2.370170,1.821613,3.093138,2.418119,0.000000
0,1,0.900000,0.774690,5,50,5,1000,0.100000,2.425336,1.876523,3.097426,2.397205,0.000000
0,1,0.900000,0.774690,5,50,6,1000,0.100000,2.399430,1.832181,3.102673,2.413958,0.000000
0,1,0.900000,0.783020,5,50,5,1000,0.100000,2.503375,1.943602,3.101419,2.407584,0.000000
0,1,0.900000,0.783020,5,50,6,1000,0.100000,2.425276,1.837463,3.104709,2.429708,0.000000
0,1,0.900000,0.791350,5,50,5,1000,0.100000,2.527282,1.965696,3.096818,2.401205,0.000000
0,1,0.900000,0.791350,5,50,6,1000,0.100000,2.554134,2.000616,3.095975,2.425919,0.000000
0,1,0.900000,0.799680,5,50,5,1000,0.100000,2.598036,2.039078,3.111720,2.426328,0.000000
0,1,0.900000,0.799680,5,50,6,1000,0.100000,2.550817,1.908645,3.115349,2.437126,0.000000
0,1,0.900000,0.808010,5,50,5,1000,0.100000,2.614153,2.019253,3.119124,2.436514,0.000000
0,1,0.900000,0.808010,5,50,6,1000,0.100000,2.681288,2.119224,3.097677,2.422190,0.000000
0,1,0.900000,0.816340,5,50,5,1000,0.100000,2.684594,2.120588,3.118114,2.415474,0.000000
0,1,0.900000,0.816340,5,50,6,1000,0.100000,2.778938,2.199417,3.124056,2.452239,0.000000
1,1,0.900000,0.758030,5,50,5,1000,0.100000,2.355792,1.785254,3.094929,2.412868,0.000000
1,1,0.900000,0.758030,5,50,6,1000,0.100000,2.321756,1.740651,3.088389,2.404595,0.000000
1,1,0.900000,0.766360,5,50,5,1000,0.100000,2.404669,1.900898,3.090716,2.409424,0.000000
