Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.500000,0.700000,5,50,500,1000,0.500000,0.202259,0.110239,0.486406,0.409106,0.000000
0,1,0.500000,0.700000,5,50,600,1000,0.500000,0.203403,0.110985,0.485445,0.410408,0.000000
0,1,0.500000,0.700000,10,50,500,1000,0.500000,0.348835,0.200954,0.371357,0.246145,0.000000
0,1,0.500000,0.700000,10,50,600,1000,0.500000,0.345622,0.200725,0.369433,0.244030,0.000000
0,1,0.500000,0.700000,15,50,500,1000,0.500000,0.403490,0.256067,0.362950,0.223864,0.000000
0,1,0.500000,0.700000,15,50,600,1000,0.500000,0.403257,0.253119,0.364172,0.223283,0.000000
0,1,0.500000,0.700000,20,50,500,1000,0.500000,0.416755,0.272307,0.365970,0.223248,0.000000
0,1,0.500000,0.700000,20,50,600,1000,0.500000,0.414960,0.271287,0.364706,0.223414,0.000000
0,1,0.500000,0.700000,25,50,500,1000,0.500000,0.415415,0.272107,0.365299,0.223275,0.000000
0,1,0.500000,0.700000,25,50,600,1000,0.500000,0.417082,0.270984,0.365624,0.222462,0.000000
0,1,0.500000,0.700000,30,50,500,1000,0.500000,0.418934,0.274648,0.366460,0.223580,0.000000
0,1,0.500000,0.700000,30,50,600,1000,0.500000,0.418351,0.274534,0.366018,0.223975,0.000000
0,1,0.500000,0.700000,5,100,500,1000,0.500000,0.100372,0.050062,0.443742,0.406358,0.000000
0,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100518,0.050074,0.440601,0.399703,0.000000
0,1,0.500000,0.700000,10,100,500,1000,0.500000,0.185318,0.089425,0.287989,0.212666,0.000000
0,1,0.500000,0.700000,10,100,600,1000,0.500000,0.185064,0.087845,0.287909,0.211460,0.000000
0,1,0.500000,0.700000,15,100,500,1000,0.500000,0.240198,0.127518,0.260091,0.164677,0.000000
0,1,0.500000,0.700000,15,100,600,1000,0.500000,0.240923,0.129368,0.259943,0.164693,0.000000
0,1,0.500000,0.700000,20,100,500,1000,0.500000,0.266324,0.153905,0.255946,0.152356,0.000000
0,1,0.500000,0.700000,20,100,600,1000,0.500000,0.266729,0.156164,0.256015,0.153444,0.000000
0,1,0.500000,0.700000,25,100,500,1000,0.500000,0.274987,0.165600,0.254827,0.149429,0.000000
0,1,0.500000,0.700000,25,100,600,1000,0.500000,0.275159,0.167232,0.254622,0.150163,0.000000
0,1,0.500000,0.700000,30,100,500,1000,0.500000,0.278562,0.172675,0.256139,0.150551,0.000000
