Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.500000,0.700000,5,50,500,1000,0.500000,0.203296,0.112680,0.489945,0.420376,0.000000
0,1,0.500000,0.700000,5,50,600,1000,0.500000,0.204513,0.112239,0.490892,0.420954,0.000000
0,1,0.500000,0.700000,10,50,500,1000,0.500000,0.342113,0.198927,0.366266,0.249548,0.000000
0,1,0.500000,0.700000,10,50,600,1000,0.500000,0.342237,0.199756,0.362815,0.243771,0.000000
0,1,0.500000,0.700000,15,50,500,1000,0.500000,0.392516,0.247238,0.355020,0.221463,0.000000
0,1,0.500000,0.700000,15,50,600,1000,0.500000,0.399172,0.251871,0.359077,0.222496,0.000000
0,1,0.500000,0.700000,20,50,500,1000,0.500000,0.413026,0.267380,0.363941,0.224882,0.000000
0,1,0.500000,0.700000,20,50,600,1000,0.500000,0.403193,0.263925,0.356730,0.222891,0.000000
0,1,0.500000,0.700000,25,50,500,1000,0.500000,0.401900,0.261139,0.356628,0.221639,0.000000
0,1,0.500000,0.700000,25,50,600,1000,0.500000,0.413757,0.269662,0.364289,0.225612,0.000000
0,1,0.500000,0.700000,30,50,500,1000,0.500000,0.416583,0.278043,0.364260,0.228298,0.000000
0,1,0.500000,0.700000,30,50,600,1000,0.500000,0.410973,0.268057,0.360998,0.221612,0.000000
0,1,0.500000,0.700000,5,100,500,1000,0.500000,0.100284,0.048433,0.444545,0.409613,0.000000
0,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100361,0.050465,0.442881,0.405327,0.000000
0,1,0.500000,0.700000,10,100,500,1000,0.500000,0.184397,0.088237,0.291633,0.221011,0.000000
0,1,0.500000,0.700000,10,100,600,1000,0.500000,0.182302,0.087057,0.283256,0.212587,0.000000
0,1,0.500000,0.700000,15,100,500,1000,0.500000,0.238113,0.126643,0.257540,0.166268,0.000000
0,1,0.500000,0.700000,15,100,600,1000,0.500000,0.236615,0.126184,0.255412,0.164997,0.000000
0,1,0.500000,0.700000,20,100,500,1000,0.500000,0.266594,0.153463,0.256233,0.152582,0.000000
0,1,0.500000,0.700000,20,100,600,1000,0.500000,0.266183,0.156742,0.256359,0.158142,0.000000
0,1,0.500000,0.700000,25,100,500,1000,0.500000,0.274550,0.162365,0.255567,0.150164,0.000000
0,1,0.500000,0.700000,25,100,600,1000,0.500000,0.273065,0.165081,0.252910,0.150245,0.000000
0,1,0.500000,0.700000,30,100,500,1000,0.500000,0.272027,0.165465,0.250882,0.148044,0.000000
0,1,0.500000,0.700000,30,100,600,1000,0.500000,0.279244,0.173608,0.256599,0.152357,0.000000
1,1,0.500000,0.700000,5,50,500,1000,0.500000,0.200193,0.107746,0.486467,0.417649,0.000000
1,1,0.500000,0.700000,5,50,600,1000,0.500000,0.204312,0.111244,0.484942,0.420569,0.000000
1,1,0.500000,0.700000,10,50,500,1000,0.500000,0.342967,0.199642,0.369428,0.248149,0.000000
1,1,0.500000,0.700000,10,50,600,1000,0.500000,0.342303,0.195803,0.368959,0.248540,0.000000
1,1,0.500000,0.700000,15,50,500,1000,0.500000,0.395598,0.244728,0.360687,0.227112,0.000000
1,1,0.500000,0.700000,15,50,600,1000,0.500000,0.392247,0.241038,0.359570,0.223269,0.000000
1,1,0.500000,0.700000,20,50,500,1000,0.500000,0.399380,0.259520,0.352837,0.218509,0.000000
1,1,0.500000,0.700000,20,50,600,1000,0.500000,0.410675,0.274966,0.362240,0.226102,0.000000
1,1,0.500000,0.700000,25,50,500,1000,0.500000,0.404804,0.271224,0.356417,0.224375,0.000000
1,1,0.500000,0.700000,25,50,600,1000,0.500000,0.406715,0.263742,0.358338,0.223702,0.000000
1,1,0.500000,0.700000,30,50,500,1000,0.500000,0.414173,0.269263,0.363616,0.226785,0.000000
1,1,0.500000,0.700000,30,50,600,1000,0.500000,0.416358,0.280745,0.363993,0.227183,0.000000
1,1,0.500000,0.700000,5,100,500,1000,0.500000,0.099731,0.049458,0.445794,0.406547,0.000000
1,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100336,0.049553,0.444396,0.404830,0.000000
1,1,0.500000,0.700000,10,100,500,1000,0.500000,0.186491,0.089547,0.288582,0.213357,0.000000
1,1,0.500000,0.700000,10,100,600,1000,0.500000,0.184278,0.088721,0.282569,0.209842,0.000000
1,1,0.500000,0.700000,15,100,500,1000,0.500000,0.237573,0.126181,0.259842,0.166456,0.000000
1,1,0.500000,0.700000,15,100,600,1000,0.500000,0.239010,0.129053,0.257100,0.163893,0.000000
1,1,0.500000,0.700000,20,100,500,1000,0.500000,0.266927,0.156115,0.253858,0.153385,0.000000
1,1,0.500000,0.700000,20,100,600,1000,0.500000,0.262846,0.155453,0.253750,0.155784,0.000000
1,1,0.500000,0.700000,25,100,500,1000,0.500000,0.270852,0.162754,0.252092,0.149973,0.000000
1,1,0.500000,0.700000,25,100,600,1000,0.500000,0.272742,0.165019,0.252945,0.150746,0.000000
1,1,0.500000,0.700000,30,100,500,1000,0.500000,0.272696,0.170647,0.252532,0.150643,0.000000
1,1,0.500000,0.700000,30,100,600,1000,0.500000,0.274318,0.170200,0.252392,0.149731,0.000000
2,1,0.500000,0.700000,5,50,500,1000,0.500000,0.202365,0.110854,0.486370,0.421808,0.000000
2,1,0.500000,0.700000,5,50,600,1000,0.500000,0.202086,0.108138,0.489903,0.424059,0.000000
2,1,0.500000,0.700000,10,50,500,1000,0.500000,0.341971,0.196673,0.373326,0.256882,0.000000
2,1,0.500000,0.700000,10,50,600,1000,0.500000,0.342090,0.196909,0.371118,0.252466,0.000000
2,1,0.500000,0.700000,15,50,500,1000,0.500000,0.397300,0.248942,0.360833,0.225730,0.000000
2,1,0.500000,0.700000,15,50,600,1000,0.500000,0.403370,0.255931,0.360628,0.223408,0.000000
2,1,0.500000,0.700000,20,50,500,1000,0.500000,0.405643,0.262423,0.359865,0.227649,0.000000
2,1,0.500000,0.700000,20,50,600,1000,0.500000,0.410362,0.263736,0.362979,0.222955,0.000000
2,1,0.500000,0.700000,25,50,500,1000,0.500000,0.416302,0.272572,0.365068,0.226227,0.000000
2,1,0.500000,0.700000,25,50,600,1000,0.500000,0.408351,0.266224,0.360460,0.226535,0.000000
2,1,0.500000,0.700000,30,50,500,1000,0.500000,0.416070,0.270264,0.367869,0.228707,0.000000
2,1,0.500000,0.700000,30,50,600,1000,0.500000,0.409919,0.268917,0.361647,0.224850,0.000000
2,1,0.500000,0.700000,5,100,500,1000,0.500000,0.100874,0.049781,0.447069,0.412874,0.000000
2,1,0.500000,0.700000,5,100,600,1000,0.500000,0.099650,0.050426,0.443325,0.411821,0.000000
2,1,0.500000,0.700000,10,100,500,1000,0.500000,0.187463,0.090457,0.293702,0.223306,0.000000
2,1,0.500000,0.700000,10,100,600,1000,0.500000,0.183956,0.089008,0.284918,0.211225,0.000000
2,1,0.500000,0.700000,15,100,500,1000,0.500000,0.233456,0.124643,0.254659,0.165381,0.000000
2,1,0.500000,0.700000,15,100,600,1000,0.500000,0.237191,0.124436,0.257316,0.164711,0.000000
2,1,0.500000,0.700000,20,100,500,1000,0.500000,0.266373,0.153245,0.256610,0.154641,0.000000
2,1,0.500000,0.700000,20,100,600,1000,0.500000,0.264340,0.153768,0.253347,0.151649,0.000000
2,1,0.500000,0.700000,25,100,500,1000,0.500000,0.271881,0.168152,0.252367,0.152299,0.000000
2,1,0.500000,0.700000,25,100,600,1000,0.500000,0.273659,0.167510,0.254482,0.154086,0.000000
2,1,0.500000,0.700000,30,100,500,1000,0.500000,0.273951,0.164984,0.252336,0.147978,0.000000
2,1,0.500000,0.700000,30,100,600,1000,0.500000,0.278818,0.174188,0.256345,0.155226,0.000000
3,1,0.500000,0.700000,5,50,500,1000,0.500000,0.201547,0.107770,0.484959,0.413673,0.000000
3,1,0.500000,0.700000,5,50,600,1000,0.500000,0.200131,0.110510,0.478721,0.410482,0.000000
3,1,0.500000,0.700000,10,50,500,1000,0.500000,0.341368,0.193356,0.370221,0.254402,0.000000
3,1,0.500000,0.700000,10,50,600,1000,0.500000,0.342064,0.198237,0.364963,0.247373,0.000000
3,1,0.500000,0.700000,15,50,500,1000,0.500000,0.392318,0.246369,0.361648,0.229574,0.000000
3,1,0.500000,0.700000,15,50,600,1000,0.500000,0.403192,0.259447,0.360582,0.224687,0.000000
3,1,0.500000,0.700000,20,50,500,1000,0.500000,0.406690,0.263632,0.360855,0.226557,0.000000
3,1,0.500000,0.700000,20,50,600,1000,0.500000,0.408819,0.259926,0.361825,0.220955,0.000000
3,1,0.500000,0.700000,25,50,500,1000,0.500000,0.405974,0.262122,0.358146,0.220820,0.000000
3,1,0.500000,0.700000,25,50,600,1000,0.500000,0.403586,0.261593,0.357545,0.220623,0.000000
3,1,0.500000,0.700000,30,50,500,1000,0.500000,0.409475,0.267295,0.362489,0.222375,0.000000
3,1,0.500000,0.700000,30,50,600,1000,0.500000,0.413759,0.268413,0.363102,0.224280,0.000000
3,1,0.500000,0.700000,5,100,500,1000,0.500000,0.099711,0.049428,0.440666,0.397822,0.000000
3,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100169,0.050111,0.445804,0.408685,0.000000
3,1,0.500000,0.700000,10,100,500,1000,0.500000,0.182994,0.088737,0.285699,0.212184,0.000000
3,1,0.500000,0.700000,10,100,600,1000,0.500000,0.186669,0.090041,0.289572,0.211778,0.000000
3,1,0.500000,0.700000,15,100,500,1000,0.500000,0.239316,0.129287,0.259104,0.168612,0.000000
3,1,0.500000,0.700000,15,100,600,1000,0.500000,0.233813,0.122117,0.254135,0.162286,0.000000
3,1,0.500000,0.700000,20,100,500,1000,0.500000,0.264099,0.153615,0.253106,0.155923,0.000000
3,1,0.500000,0.700000,20,100,600,1000,0.500000,0.263665,0.152705,0.255614,0.153407,0.000000
3,1,0.500000,0.700000,25,100,500,1000,0.500000,0.274311,0.165508,0.255267,0.152689,0.000000
3,1,0.500000,0.700000,25,100,600,1000,0.500000,0.272527,0.167201,0.252156,0.150023,0.000000
3,1,0.500000,0.700000,30,100,500,1000,0.500000,0.280958,0.174599,0.257194,0.151954,0.000000
3,1,0.500000,0.700000,30,100,600,1000,0.500000,0.275021,0.170461,0.253809,0.150746,0.000000
4,1,0.500000,0.700000,5,50,500,1000,0.500000,0.202931,0.111270,0.496775,0.423750,0.000000
4,1,0.500000,0.700000,5,50,600,1000,0.500000,0.199812,0.107557,0.475384,0.405005,0.000000
4,1,0.500000,0.700000,10,50,500,1000,0.500000,0.342628,0.199359,0.367190,0.251092,0.000000
4,1,0.500000,0.700000,10,50,600,1000,0.500000,0.345364,0.194719,0.371009,0.250424,0.000000
4,1,0.500000,0.700000,15,50,500,1000,0.500000,0.393481,0.250859,0.357641,0.225211,0.000000
4,1,0.500000,0.700000,15,50,600,1000,0.500000,0.406225,0.251362,0.368835,0.230307,0.000000
4,1,0.500000,0.700000,20,50,500,1000,0.500000,0.411163,0.263479,0.365056,0.223760,0.000000
4,1,0.500000,0.700000,20,50,600,1000,0.500000,0.401895,0.258535,0.358686,0.221850,0.000000
4,1,0.500000,0.700000,25,50,500,1000,0.500000,0.408517,0.264745,0.361701,0.225239,0.000000
4,1,0.500000,0.700000,25,50,600,1000,0.500000,0.416183,0.275579,0.363545,0.226867,0.000000
4,1,0.500000,0.700000,30,50,500,1000,0.500000,0.412562,0.275547,0.360969,0.227257,0.000000
4,1,0.500000,0.700000,30,50,600,1000,0.500000,0.411884,0.279621,0.362193,0.224022,0.000000
4,1,0.500000,0.700000,5,100,500,1000,0.500000,0.100008,0.049175,0.442314,0.408762,0.000000
4,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100741,0.050736,0.437220,0.399448,0.000000
4,1,0.500000,0.700000,10,100,500,1000,0.500000,0.185232,0.087189,0.287511,0.212568,0.000000
4,1,0.500000,0.700000,10,100,600,1000,0.500000,0.184849,0.088917,0.290091,0.213429,0.000000
4,1,0.500000,0.700000,15,100,500,1000,0.500000,0.240127,0.128598,0.259092,0.167036,0.000000
4,1,0.500000,0.700000,15,100,600,1000,0.500000,0.237318,0.123846,0.258124,0.165509,0.000000
4,1,0.500000,0.700000,20,100,500,1000,0.500000,0.265455,0.151651,0.255815,0.153613,0.000000
4,1,0.500000,0.700000,20,100,600,1000,0.500000,0.262412,0.152428,0.252034,0.151794,0.000000
4,1,0.500000,0.700000,25,100,500,1000,0.500000,0.272105,0.162903,0.252834,0.148893,0.000000
4,1,0.500000,0.700000,25,100,600,1000,0.500000,0.271780,0.164867,0.252538,0.150463,0.000000
4,1,0.500000,0.700000,30,100,500,1000,0.500000,0.271841,0.168319,0.249963,0.149570,0.000000
4,1,0.500000,0.700000,30,100,600,1000,0.500000,0.278750,0.171883,0.257123,0.152209,0.000000
5,1,0.500000,0.700000,5,50,500,1000,0.500000,0.201645,0.110488,0.491773,0.427579,0.000000
5,1,0.500000,0.700000,5,50,600,1000,0.500000,0.199967,0.106954,0.498372,0.436766,0.000000
5,1,0.500000,0.700000,10,50,500,1000,0.500000,0.335671,0.197726,0.360996,0.242946,0.000000
5,1,0.500000,0.700000,10,50,600,1000,0.500000,0.347420,0.200680,0.371129,0.249673,0.000000
5,1,0.500000,0.700000,15,50,500,1000,0.500000,0.401633,0.254989,0.362788,0.229557,0.000000
5,1,0.500000,0.700000,15,50,600,1000,0.500000,0.403112,0.257666,0.364141,0.230316,0.000000
5,1,0.500000,0.700000,20,50,500,1000,0.500000,0.404362,0.255583,0.357204,0.221466,0.000000
5,1,0.500000,0.700000,20,50,600,1000,0.500000,0.414069,0.276402,0.363999,0.230011,0.000000
5,1,0.500000,0.700000,25,50,500,1000,0.500000,0.418808,0.271061,0.365348,0.224103,0.000000
5,1,0.500000,0.700000,25,50,600,1000,0.500000,0.406756,0.266646,0.358227,0.225036,0.000000
5,1,0.500000,0.700000,30,50,500,1000,0.500000,0.411329,0.271314,0.363856,0.228091,0.000000
5,1,0.500000,0.700000,30,50,600,1000,0.500000,0.407454,0.267107,0.359991,0.223430,0.000000
5,1,0.500000,0.700000,5,100,500,1000,0.500000,0.100078,0.050076,0.446001,0.410836,0.000000
5,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100670,0.052024,0.440556,0.400666,0.000000
5,1,0.500000,0.700000,10,100,500,1000,0.500000,0.185132,0.087380,0.288623,0.215916,0.000000
5,1,0.500000,0.700000,10,100,600,1000,0.500000,0.184357,0.088912,0.287877,0.214632,0.000000
5,1,0.500000,0.700000,15,100,500,1000,0.500000,0.239485,0.126061,0.259079,0.165138,0.000000
5,1,0.500000,0.700000,15,100,600,1000,0.500000,0.239167,0.126093,0.258803,0.161929,0.000000
5,1,0.500000,0.700000,20,100,500,1000,0.500000,0.265952,0.155616,0.254134,0.150418,0.000000
5,1,0.500000,0.700000,20,100,600,1000,0.500000,0.264450,0.151159,0.256800,0.155429,0.000000
5,1,0.500000,0.700000,25,100,500,1000,0.500000,0.270834,0.161591,0.253002,0.150731,0.000000
5,1,0.500000,0.700000,25,100,600,1000,0.500000,0.270583,0.163558,0.252720,0.151281,0.000000
5,1,0.500000,0.700000,30,100,500,1000,0.500000,0.276736,0.166326,0.256706,0.148781,0.000000
5,1,0.500000,0.700000,30,100,600,1000,0.500000,0.276714,0.172141,0.254419,0.151723,0.000000
6,1,0.500000,0.700000,5,50,500,1000,0.500000,0.201873,0.108757,0.488445,0.419076,0.000000
6,1,0.500000,0.700000,5,50,600,1000,0.500000,0.201095,0.110118,0.486863,0.421122,0.000000
6,1,0.500000,0.700000,10,50,500,1000,0.500000,0.341783,0.195956,0.368597,0.246739,0.000000
6,1,0.500000,0.700000,10,50,600,1000,0.500000,0.343531,0.198051,0.368008,0.245104,0.000000
6,1,0.500000,0.700000,15,50,500,1000,0.500000,0.394584,0.247369,0.359031,0.224054,0.000000
6,1,0.500000,0.700000,15,50,600,1000,0.500000,0.403507,0.251528,0.365124,0.226132,0.000000
6,1,0.500000,0.700000,20,50,500,1000,0.500000,0.404593,0.266731,0.357718,0.223507,0.000000
6,1,0.500000,0.700000,20,50,600,1000,0.500000,0.405392,0.270350,0.357774,0.224428,0.000000
6,1,0.500000,0.700000,25,50,500,1000,0.500000,0.412210,0.269761,0.365924,0.226734,0.000000
6,1,0.500000,0.700000,25,50,600,1000,0.500000,0.417395,0.282971,0.363187,0.229824,0.000000
6,1,0.500000,0.700000,30,50,500,1000,0.500000,0.404376,0.270146,0.355247,0.220493,0.000000
6,1,0.500000,0.700000,30,50,600,1000,0.500000,0.413879,0.277405,0.362342,0.226123,0.000000
6,1,0.500000,0.700000,5,100,500,1000,0.500000,0.101242,0.050221,0.450522,0.407855,0.000000
6,1,0.500000,0.700000,5,100,600,1000,0.500000,0.100112,0.050214,0.440260,0.403466,0.000000
6,1,0.500000,0.700000,10,100,500,1000,0.500000,0.184791,0.088717,0.286238,0.210864,0.000000
6,1,0.500000,0.700000,10,100,600,1000,0.500000,0.186333,0.091826,0.287967,0.214086,0.000000
6,1,0.500000,0.700000,15,100,500,1000,0.500000,0.238338,0.127079,0.259423,0.166396,0.000000
6,1,0.500000,0.700000,15,100,600,1000,0.500000,0.238834,0.128102,0.259585,0.168910,0.000000
6,1,0.500000,0.700000,20,100,500,1000,0.500000,0.263653,0.150543,0.255991,0.154581,0.000000
6,1,0.500000,0.700000,20,100,600,1000,0.500000,0.264499,0.153080,0.253721,0.149471,0.000000
6,1,0.500000,0.700000,25,100,500,1000,0.500000,0.272048,0.166481,0.252868,0.149091,0.000000
6,1,0.500000,0.700000,25,100,600,1000,0.500000,0.271853,0.163612,0.253659,0.150365,0.000000
6,1,0.500000,0.700000,30,100,500,1000,0.500000,0.276480,0.170803,0.253828,0.149524,0.000000
6,1,0.500000,0.700000,30,100,600,1000,0.500000,0.275008,0.169317,0.254758,0.150481,0.000000
7,1,0.500000,0.700000,5,50,500,1000,0.500000,0.200979,0.108100,0.492564,0.429062,0.000000
7,1,0.500000,0.700000,5,50,600,1000,0.500000,0.200119,0.108296,0.486292,0.416271,0.000000
7,1,0.500000,0.700000,10,50,500,1000,0.500000,0.338872,0.194430,0.365888,0.249405,0.000000
7,1,0.500000,0.700000,10,50,600,1000,0.500000,0.350549,0.205068,0.374633,0.252286,0.000000
7,1,0.500000,0.700000,15,50,500,1000,0.500000,0.401356,0.247884,0.364660,0.224358,0.000000
7,1,0.500000,0.700000,15,50,600,1000,0.500000,0.397840,0.249224,0.363474,0.227641,0.000000
7,1,0.500000,0.700000,20,50,500,1000,0.500000,0.409738,0.266268,0.361035,0.224685,0.000000
7,1,0.500000,0.700000,20,50,600,1000,0.500000,0.409247,0.264390,0.357427,0.218431,0.000000
7,1,0.500000,0.700000,25,50,500,1000,0.500000,0.411469,0.265421,0.363961,0.224415,0.000000
7,1,0.500000,0.700000,25,50,600,1000,0.500000,0.399276,0.257920,0.353323,0.219918,0.000000
7,1,0.500000,0.700000,30,50,500,1000,0.500000,0.404494,0.263021,0.357331,0.220593,0.000000
7,1,0.500000,0.700000,30,50,600,1000,0.500000,0.405594,0.266801,0.356860,0.222113,0.000000
7,1,0.500000,0.700000,5,100,500,1000,0.500000,0.098803,0.049199,0.449109,0.412441,0.000000
7,1,0.500000,0.700000,5,100,600,1000,0.500000,0.099876,0.049511,0.438703,0.403515,0.000000
7,1,0.500000,0.700000,10,100,500,1000,0.500000,0.183288,0.088061,0.286986,0.212808,0.000000
7,1,0.500000,0.700000,10,100,600,1000,0.500000,0.185100,0.086890,0.287721,0.216644,0.000000
7,1,0.500000,0.700000,15,100,500,1000,0.500000,0.239327,0.126376,0.259486,0.166335,0.000000
7,1,0.500000,0.700000,15,100,600,1000,0.500000,0.236427,0.125915,0.255001,0.163359,0.000000
7,1,0.500000,0.700000,20,100,500,1000,0.500000,0.264249,0.153012,0.255224,0.155723,0.000000
7,1,0.500000,0.700000,20,100,600,1000,0.500000,0.260377,0.149616,0.250262,0.151042,0.000000
7,1,0.500000,0.700000,25,100,500,1000,0.500000,0.274237,0.167427,0.254213,0.152156,0.000000
7,1,0.500000,0.700000,25,100,600,1000,0.500000,0.271207,0.168983,0.251215,0.150560,0.000000
7,1,0.500000,0.700000,30,100,500,1000,0.500000,0.276122,0.170805,0.255305,0.151426,0.000000
7,1,0.500000,0.700000,30,100,600,1000,0.500000,0.272181,0.167535,0.251978,0.148525,0.000000
8,1,0.500000,0.700000,5,50,500,1000,0.500000,0.201848,0.109549,0.481870,0.411153,0.000000
8,1,0.500000,0.700000,5,50,600,1000,0.500000,0.201588,0.110339,0.485406,0.425798,0.000000
8,1,0.500000,0.700000,10,50,500,1000,0.500000,0.339316,0.189356,0.367977,0.249217,0.000000
8,1,0.500000,0.700000,10,50,600,1000,0.500000,0.343637,0.198119,0.367816,0.253078,0.000000
8,1,0.500000,0.700000,15,50,500,1000,0.500000,0.394681,0.246236,0.358281,0.222411,0.000000
8,1,0.500000,0.700000,15,50,600,1000,0.500000,0.401956,0.251758,0.363336,0.225695,0.000000
8,1,0.500000,0.700000,20,50,500,1000,0.500000,0.408351,0.270870,0.360976,0.226322,0.000000
8,1,0.500000,0.700000,20,50,600,1000,0.500000,0.409438,0.266965,0.360832,0.224500,0.000000
8,1,0.500000,0.700000,25,50,500,1000,0.500000,0.404134,0.265809,0.357552,0.222646,0.000000
8,1,0.500000,0.700000,25,50,600,1000,0.500000,0.403876,0.258439,0.359911,0.220936,0.000000
8,1,0.500000,0.700000,30,50,500,1000,0.500000,0.409858,0.273558,0.359417,0.223422,0.000000
8,1,0.500000,0.700000,30,50,600,1000,0.500000,0.415756,0.274767,0.364570,0.230481,0.000000
