Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.900000,0.100000,5,50,500,1000,0.100000,0.989529,0.534363,2.446661,2.139618,0.000000
0,1,0.900000,0.100000,5,50,600,1000,0.100000,0.991731,0.526451,2.426974,2.116359,0.000000
0,1,0.900000,0.350000,5,50,500,1000,0.100000,1.192345,0.731280,2.491189,2.195773,0.000000
0,1,0.900000,0.350000,5,50,600,1000,0.100000,1.203473,0.735502,2.495124,2.187924,0.000000
0,1,0.900000,0.600000,5,50,500,1000,0.100000,1.628208,1.159736,2.567545,2.308228,0.000000
0,1,0.900000,0.600000,5,50,600,1000,0.100000,1.646370,1.176796,2.581472,2.322208,0.000000
0,1,0.900000,0.850000,5,50,500,1000,0.100000,2.879555,2.370425,2.653918,2.406923,0.000000
0,1,0.900000,0.850000,5,50,600,1000,0.100000,2.907467,2.365571,2.669746,2.452014,0.000000
0,1,0.900000,1.100000,5,50,500,1000,0.100000,454.026670,313.845966,2.734467,2.540372,0.000671
0,1,0.900000,1.100000,5,50,600,1000,0.100000,455.061086,312.890677,2.746263,2.533978,0.002111
1,1,0.900000,0.100000,5,50,500,1000,0.100000,0.988019,0.513360,2.432466,2.106714,0.000000
1,1,0.900000,0.100000,5,50,600,1000,0.100000,0.982197,0.522661,2.405774,2.092465,0.000000
1,1,0.900000,0.350000,5,50,500,1000,0.100000,1.185967,0.717892,2.493278,2.178116,0.000000
1,1,0.900000,0.350000,5,50,600,1000,0.100000,1.198122,0.737377,2.487930,2.180163,0.000000
1,1,0.900000,0.600000,5,50,500,1000,0.100000,1.627047,1.150762,2.583724,2.315928,0.000000
1,1,0.900000,0.600000,5,50,600,1000,0.100000,1.631994,1.163104,2.571941,2.303656,0.000000
1,1,0.900000,0.850000,5,50,500,1000,0.100000,2.975451,2.496661,2.660950,2.418057,0.000000
1,1,0.900000,0.850000,5,50,600,1000,0.100000,2.907683,2.379553,2.668488,2.441042,0.000000
