Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.900000,0.100000,5,50,100,1000,0.100000,0.978286,0.515082,2.405197,2.044088,0.000000
0,1,0.900000,0.350000,5,50,100,1000,0.100000,1.203803,0.744843,2.490361,2.128962,0.000000
0,1,0.900000,0.600000,5,50,100,1000,0.100000,1.660820,1.176465,2.593524,2.229778,0.000000
0,1,0.900000,0.850000,5,50,100,1000,0.100000,3.118315,2.634699,2.688323,2.329886,0.000000
0,1,0.900000,1.100000,5,50,100,1000,0.100000,460.525656,186.020195,2.760515,2.354921,0.000000
1,1,0.900000,0.100000,5,50,100,1000,0.100000,0.976783,0.525365,2.441360,2.102445,0.000000
1,1,0.900000,0.350000,5,50,100,1000,0.100000,1.208850,0.744656,2.472782,2.111797,0.000000
1,1,0.900000,0.600000,5,50,100,1000,0.100000,1.659694,1.176823,2.589475,2.228056,0.000000
1,1,0.900000,0.850000,5,50,100,1000,0.100000,3.005719,2.510131,2.650098,2.286367,0.000000
1,1,0.900000,1.100000,5,50,100,1000,0.100000,456.304294,228.651346,2.738987,2.351396,0.001002
2,1,0.900000,0.100000,5,50,100,1000,0.100000,0.979169,0.513169,2.410474,2.090666,0.000000
2,1,0.900000,0.350000,5,50,100,1000,0.100000,1.203912,0.733139,2.487611,2.124232,0.000000
2,1,0.900000,0.600000,5,50,100,1000,0.100000,1.662997,1.191265,2.584787,2.209054,0.000000
2,1,0.900000,0.850000,5,50,100,1000,0.100000,3.093285,2.579767,2.670826,2.311170,0.000000
2,1,0.900000,1.100000,5,50,100,1000,0.100000,449.069017,263.557349,2.755852,2.362658,0.000000
3,1,0.900000,0.100000,5,50,100,1000,0.100000,0.982910,0.520144,2.429345,2.064294,0.000000
3,1,0.900000,0.350000,5,50,100,1000,0.100000,1.203170,0.738958,2.513822,2.156668,0.000000
3,1,0.900000,0.600000,5,50,100,1000,0.100000,1.658065,1.174339,2.585304,2.219878,0.000000
3,1,0.900000,0.850000,5,50,100,1000,0.100000,3.115287,2.677664,2.671029,2.281761,0.000000
3,1,0.900000,1.100000,5,50,100,1000,0.100000,456.533947,297.219076,2.727380,2.352535,0.004974
4,1,0.900000,0.100000,5,50,100,1000,0.100000,0.978267,0.523589,2.426129,2.066741,0.000000
4,1,0.900000,0.350000,5,50,100,1000,0.100000,1.221152,0.745822,2.502396,2.140960,0.000000
4,1,0.900000,0.600000,5,50,100,1000,0.100000,1.619315,1.133368,2.572343,2.221000,0.000000
4,1,0.900000,0.850000,5,50,100,1000,0.100000,3.186980,2.798235,2.664834,2.272624,0.000000
4,1,0.900000,1.100000,5,50,100,1000,0.100000,452.815072,250.477058,2.747468,2.341697,0.002165
5,1,0.900000,0.100000,5,50,100,1000,0.100000,0.984603,0.520939,2.419097,2.092813,0.000000
5,1,0.900000,0.350000,5,50,100,1000,0.100000,1.204717,0.728881,2.481076,2.111775,0.000000
5,1,0.900000,0.600000,5,50,100,1000,0.100000,1.684580,1.223036,2.577554,2.204567,0.000000
5,1,0.900000,0.850000,5,50,100,1000,0.100000,3.130908,2.622530,2.671106,2.296169,0.000000
5,1,0.900000,1.100000,5,50,100,1000,0.100000,450.348170,302.057743,2.734136,2.331011,0.003589
6,1,0.900000,0.100000,5,50,100,1000,0.100000,0.994768,0.528369,2.453432,2.109868,0.000000
6,1,0.900000,0.350000,5,50,100,1000,0.100000,1.207933,0.744582,2.471922,2.126127,0.000000
6,1,0.900000,0.600000,5,50,100,1000,0.100000,1.625912,1.129733,2.582715,2.221644,0.000000
6,1,0.900000,0.850000,5,50,100,1000,0.100000,3.079819,2.512677,2.655572,2.279133,0.000000
6,1,0.900000,1.100000,5,50,100,1000,0.100000,452.191481,255.605392,2.754112,2.367008,0.002208
7,1,0.900000,0.100000,5,50,100,1000,0.100000,0.984154,0.516599,2.426351,2.078276,0.000000
7,1,0.900000,0.350000,5,50,100,1000,0.100000,1.212234,0.743240,2.517719,2.170341,0.000000
7,1,0.900000,0.600000,5,50,100,1000,0.100000,1.651222,1.168844,2.587094,2.214418,0.000000
7,1,0.900000,0.850000,5,50,100,1000,0.100000,3.128146,2.619472,2.680780,2.304662,0.000000
7,1,0.900000,1.100000,5,50,100,1000,0.100000,452.323985,242.419660,2.740432,2.352449,0.000000
8,1,0.900000,0.100000,5,50,100,1000,0.100000,0.990251,0.519239,2.419343,2.057242,0.000000
8,1,0.900000,0.350000,5,50,100,1000,0.100000,1.205193,0.743303,2.524689,2.187484,0.000000
8,1,0.900000,0.600000,5,50,100,1000,0.100000,1.658571,1.175800,2.572510,2.208829,0.000000
8,1,0.900000,0.850000,5,50,100,1000,0.100000,3.142146,2.631999,2.684901,2.318222,0.000000
8,1,0.900000,1.100000,5,50,100,1000,0.100000,457.469460,201.609764,2.714616,2.342215,0.000000
9,1,0.900000,0.100000,5,50,100,1000,0.100000,0.974981,0.523846,2.426616,2.084418,0.000000
9,1,0.900000,0.350000,5,50,100,1000,0.100000,1.209167,0.731364,2.491938,2.148287,0.000000
9,1,0.900000,0.600000,5,50,100,1000,0.100000,1.646338,1.139544,2.587250,2.222954,0.000000
9,1,0.900000,0.850000,5,50,100,1000,0.100000,3.098840,2.605061,2.661217,2.290010,0.000000
9,1,0.900000,1.100000,5,50,100,1000,0.100000,459.214330,276.093269,2.746155,2.353152,0.000000
10,1,0.900000,0.100000,5,50,100,1000,0.100000,0.984551,0.517102,2.403486,2.045647,0.000000
10,1,0.900000,0.350000,5,50,100,1000,0.100000,1.198063,0.721547,2.499521,2.144546,0.000000
10,1,0.900000,0.600000,5,50,100,1000,0.100000,1.665827,1.173188,2.601505,2.232475,0.000000
10,1,0.900000,0.850000,5,50,100,1000,0.100000,3.037803,2.538613,2.657306,2.279029,0.000000
10,1,0.900000,1.100000,5,50,100,1000,0.100000,455.855241,259.541909,2.760760,2.384684,0.000000
