Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,SourceBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay,FractionDropped
0,1,0.900000,0.005000,2,1,1,1000,0.100000,11.858805,13.317266,8.947041,8.748763,0.000000
0,1,0.900000,0.010000,2,1,1,1000,0.100000,12.446660,12.888894,10.218502,10.409850,0.000000
0,1,0.900000,0.015000,2,1,1,1000,0.100000,15.951410,16.465908,10.206802,9.961470,0.000000
0,1,0.900000,0.020000,2,1,1,1000,0.100000,20.142548,21.386318,10.084734,10.195047,0.000000
1,1,0.900000,0.005000,2,1,1,1000,0.100000,11.133392,10.795146,10.201696,9.874204,0.000000
1,1,0.900000,0.010000,2,1,1,1000,0.100000,14.272149,15.653431,10.026212,9.691600,0.000000
1,1,0.900000,0.015000,2,1,1,1000,0.100000,17.152850,17.689103,9.999617,10.127592,0.000000
1,1,0.900000,0.020000,2,1,1,1000,0.100000,20.305224,21.277518,10.096042,10.306749,0.000000
2,1,0.900000,0.005000,2,1,1,1000,0.100000,12.151234,12.956122,10.630699,10.038723,0.000000
2,1,0.900000,0.010000,2,1,1,1000,0.100000,13.986090,14.106918,10.300032,10.837784,0.000000
2,1,0.900000,0.015000,2,1,1,1000,0.100000,17.405842,20.177142,10.118098,10.298703,0.000000
2,1,0.900000,0.020000,2,1,1,1000,0.100000,19.207516,20.984528,9.861182,9.985224,0.000000
3,1,0.900000,0.005000,2,1,1,1000,0.100000,11.355336,12.897748,9.872979,10.311121,0.000000
3,1,0.900000,0.010000,2,1,1,1000,0.100000,13.791730,14.994584,9.660461,9.857773,0.000000
3,1,0.900000,0.015000,2,1,1,1000,0.100000,17.589193,19.807544,10.116370,10.163444,0.000000
3,1,0.900000,0.020000,2,1,1,1000,0.100000,20.880004,22.023947,10.294244,10.037148,0.000000
4,1,0.900000,0.005000,2,1,1,1000,0.100000,11.193575,11.601168,10.473938,10.294406,0.000000
4,1,0.900000,0.010000,2,1,1,1000,0.100000,13.958966,14.054084,10.381064,9.917848,0.000000
4,1,0.900000,0.015000,2,1,1,1000,0.100000,15.605464,16.243969,10.365485,10.717329,0.000000
4,1,0.900000,0.020000,2,1,1,1000,0.100000,19.743334,21.592649,9.834995,10.250313,0.000000
5,1,0.900000,0.005000,2,1,1,1000,0.100000,12.002702,12.343749,9.694407,9.853427,0.000000
5,1,0.900000,0.010000,2,1,1,1000,0.100000,13.183605,13.730424,9.963350,10.026827,0.000000
5,1,0.900000,0.015000,2,1,1,1000,0.100000,15.296219,16.099162,10.312351,10.437636,0.000000
5,1,0.900000,0.020000,2,1,1,1000,0.100000,20.918756,23.405794,9.679459,9.533218,0.000000
6,1,0.900000,0.005000,2,1,1,1000,0.100000,11.590789,11.634073,10.081131,10.332160,0.000000
6,1,0.900000,0.010000,2,1,1,1000,0.100000,13.093367,13.192247,10.114430,9.734056,0.000000
6,1,0.900000,0.015000,2,1,1,1000,0.100000,15.556693,15.750206,9.682387,9.110552,0.000000
6,1,0.900000,0.020000,2,1,1,1000,0.100000,19.606169,21.476586,10.202133,10.221900,0.000000
7,1,0.900000,0.005000,2,1,1,1000,0.100000,11.523459,12.712139,10.929213,11.398015,0.000000
7,1,0.900000,0.010000,2,1,1,1000,0.100000,13.397576,13.868258,10.423705,10.289511,0.000000
7,1,0.900000,0.015000,2,1,1,1000,0.100000,16.134880,16.511980,10.904828,11.477134,0.000000
7,1,0.900000,0.020000,2,1,1,1000,0.100000,21.271945,22.766342,9.879043,9.617289,0.000000
8,1,0.900000,0.005000,2,1,1,1000,0.100000,11.233102,11.005232,10.183289,10.585104,0.000000
8,1,0.900000,0.010000,2,1,1,1000,0.100000,13.299113,14.209025,9.659292,9.937267,0.000000
8,1,0.900000,0.015000,2,1,1,1000,0.100000,18.339099,22.136818,9.915681,9.865804,0.000000
8,1,0.900000,0.020000,2,1,1,1000,0.100000,18.522188,19.241953,10.201810,9.947256,0.000000
9,1,0.900000,0.005000,2,1,1,1000,0.100000,11.635436,12.128150,9.469090,8.679080,0.000000
9,1,0.900000,0.010000,2,1,1,1000,0.100000,14.264093,15.129865,10.569936,10.736116,0.000000
9,1,0.900000,0.015000,2,1,1,1000,0.100000,16.273700,17.436450,10.087939,9.786462,0.000000
9,1,0.900000,0.020000,2,1,1,1000,0.100000,20.787905,22.454134,9.971500,10.096519,0.000000
10,1,0.900000,0.005000,2,1,1,1000,0.100000,11.212194,11.356554,9.964794,9.430808,0.000000
10,1,0.900000,0.010000,2,1,1,1000,0.100000,15.047686,16.336402,9.961900,10.366850,0.000000
10,1,0.900000,0.015000,2,1,1,1000,0.100000,17.520900,18.085086,10.233825,10.415909,0.000000
10,1,0.900000,0.020000,2,1,1,1000,0.100000,18.776424,19.800461,9.943849,10.157403,0.000000
