Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2,Source1Arrival,Source1Service,Source1AvgQLength,Source1AvgDelay,Source1ApproxDelay1,Source1ApproxDelay2
0,2,0.054000,0.052000,3,1,1,0.500000,0.052200,0.156590,6.911735,132.408712,183.750000,161.038902,0.053734,0.161196,8.825617,164.246415,183.750000,161.038902
0,2,0.054000,0.053000,3,1,1,0.500000,0.052963,0.158879,9.063330,171.125699,253.043478,211.198797,0.054041,0.162074,11.395021,210.858805,253.043478,211.198797
0,2,0.054000,0.054000,3,1,1,0.500000,0.054315,0.162945,18.204675,335.168454,411.428571,309.613507,0.053996,0.161981,13.749095,254.631725,411.428571,309.613507
0,2,0.054000,0.055000,3,1,1,0.500000,0.055269,0.165642,26.770837,484.373471,1140.000000,590.453489,0.054093,0.162178,16.092681,297.500254,1140.000000,590.453489
1,2,0.054000,0.052000,3,1,1,0.500000,0.052192,0.156575,8.562040,164.048888,183.750000,161.038902,0.054532,0.163574,13.358534,244.966884,183.750000,161.038902
1,2,0.054000,0.053000,3,1,1,0.500000,0.052895,0.158673,10.359592,195.852005,253.043478,211.198797,0.054003,0.162005,13.712338,253.918079,253.043478,211.198797
1,2,0.054000,0.054000,3,1,1,0.500000,0.053562,0.160678,10.595085,197.809727,411.428571,309.613507,0.053852,0.161556,11.922577,221.395245,411.428571,309.613507
1,2,0.054000,0.055000,3,1,1,0.500000,0.054772,0.164280,17.587289,321.099994,1140.000000,590.453489,0.054147,0.162427,22.996261,424.700549,1140.000000,590.453489
2,2,0.054000,0.052000,3,1,1,0.500000,0.051944,0.155760,6.947057,133.741275,183.750000,161.038902,0.053948,0.161824,9.093742,168.564956,183.750000,161.038902
2,2,0.054000,0.053000,3,1,1,0.500000,0.053279,0.159756,13.514173,253.649157,253.043478,211.198797,0.054509,0.163520,18.070634,331.516526,253.043478,211.198797
2,2,0.054000,0.054000,3,1,1,0.500000,0.054101,0.162190,15.341247,283.566800,411.428571,309.613507,0.053754,0.161237,15.768543,293.346414,411.428571,309.613507
