Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2
0,1,0.220000,0.221000,2,1,10,0.500000,0.220000,0.439974,18.590732,84.503326,-3.510417,3.190092
0,1,0.220000,0.222000,2,1,10,0.500000,0.222214,0.444359,27.804177,125.123425,-3.443299,3.212380
0,1,0.220000,0.223000,2,1,10,0.500000,0.222312,0.444546,26.899135,120.997226,-3.377551,3.234405
0,1,0.220000,0.224000,2,1,10,0.500000,0.223814,0.447570,64.472543,288.063048,-3.313131,3.256171
0,1,0.220000,0.225000,2,1,10,0.500000,0.225137,0.450180,44.457500,197.468654,-3.250000,3.277683
0,1,0.220000,0.226000,2,1,10,0.500000,0.225895,0.451784,82.370464,364.640493,-3.188119,3.298944
0,1,0.220000,0.227000,2,1,10,0.500000,0.226239,0.452382,74.040456,327.266544,-3.127451,3.319960
1,1,0.220000,0.221000,2,1,10,0.500000,0.221141,0.442279,28.373374,128.304447,-3.510417,3.190092
1,1,0.220000,0.222000,2,1,10,0.500000,0.221876,0.443738,25.401375,114.484555,-3.443299,3.212380
1,1,0.220000,0.223000,2,1,10,0.500000,0.223146,0.445998,31.305378,140.291011,-3.377551,3.234405
1,1,0.220000,0.224000,2,1,10,0.500000,0.223795,0.447590,33.673511,150.465877,-3.313131,3.256171
1,1,0.220000,0.225000,2,1,10,0.500000,0.224956,0.449876,79.446742,353.165696,-3.250000,3.277683
1,1,0.220000,0.226000,2,1,10,0.500000,0.226409,0.452751,178.702845,789.292145,-3.188119,3.298944
1,1,0.220000,0.227000,2,1,10,0.500000,0.228329,0.454363,801.153815,3508.769427,-3.127451,3.319960
2,1,0.220000,0.221000,2,1,10,0.500000,0.219932,0.439818,17.153387,77.994048,-3.510417,3.190092
2,1,0.220000,0.222000,2,1,10,0.500000,0.221393,0.442769,28.878006,130.437755,-3.443299,3.212380
2,1,0.220000,0.223000,2,1,10,0.500000,0.222399,0.444742,30.159172,135.608398,-3.377551,3.234405
2,1,0.220000,0.224000,2,1,10,0.500000,0.224087,0.448149,52.564886,234.573562,-3.313131,3.256171
2,1,0.220000,0.225000,2,1,10,0.500000,0.225947,0.451884,104.119688,460.814653,-3.250000,3.277683
2,1,0.220000,0.226000,2,1,10,0.500000,0.226617,0.452652,330.588081,1458.796474,-3.188119,3.298944
2,1,0.220000,0.227000,2,1,10,0.500000,0.227056,0.453252,394.501909,1737.465247,-3.127451,3.319960
3,1,0.220000,0.221000,2,1,10,0.500000,0.221118,0.442233,26.026466,117.703967,-3.510417,3.190092
3,1,0.220000,0.222000,2,1,10,0.500000,0.222190,0.444322,26.745491,120.372163,-3.443299,3.212380
3,1,0.220000,0.223000,2,1,10,0.500000,0.223422,0.446813,37.768898,169.047354,-3.377551,3.234405
3,1,0.220000,0.224000,2,1,10,0.500000,0.223845,0.447669,34.754517,155.261531,-3.313131,3.256171
3,1,0.220000,0.225000,2,1,10,0.500000,0.225217,0.450327,56.506701,250.898917,-3.250000,3.277683
3,1,0.220000,0.226000,2,1,10,0.500000,0.225789,0.451379,57.988622,256.826604,-3.188119,3.298944
3,1,0.220000,0.227000,2,1,10,0.500000,0.226785,0.453337,117.436092,517.830067,-3.127451,3.319960
4,1,0.220000,0.221000,2,1,10,0.500000,0.221545,0.443022,23.928388,108.006896,-3.510417,3.190092
4,1,0.220000,0.222000,2,1,10,0.500000,0.221518,0.443033,22.380218,101.031147,-3.443299,3.212380
4,1,0.220000,0.223000,2,1,10,0.500000,0.223524,0.447013,40.394108,180.714857,-3.377551,3.234405
4,1,0.220000,0.224000,2,1,10,0.500000,0.224462,0.448918,56.138525,250.102577,-3.313131,3.256171
4,1,0.220000,0.225000,2,1,10,0.500000,0.224315,0.448516,54.206824,241.654921,-3.250000,3.277683
