Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.400000,5,50,100,0.100000,1.497494,1.127753,3.896388,3.543545
1,1,0.900000,0.400000,5,50,100,0.100000,1.502063,1.146795,3.933575,3.562508
2,1,0.900000,0.400000,5,50,100,0.100000,1.500771,1.138164,3.854396,3.509524
3,1,0.900000,0.400000,5,50,100,0.100000,1.500108,1.132096,3.876993,3.528790
4,1,0.900000,0.400000,5,50,100,0.100000,1.515295,1.184843,3.865340,3.493826
5,1,0.900000,0.400000,5,50,100,0.100000,1.488480,1.108638,3.897733,3.525995
6,1,0.900000,0.400000,5,50,100,0.100000,1.492192,1.145786,3.860402,3.490043
7,1,0.900000,0.400000,5,50,100,0.100000,1.489615,1.138319,3.881193,3.536292
8,1,0.900000,0.400000,5,50,100,0.100000,1.482275,1.104808,3.870641,3.518954
9,1,0.900000,0.400000,5,50,100,0.100000,1.495394,1.128434,3.905105,3.524537
10,1,0.900000,0.400000,5,50,100,0.100000,1.487015,1.111081,3.850278,3.483449
