Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.010000,2,1,2,0.100000,39.506918,30.242869,12.134438,15.555697
1,1,0.900000,0.010000,2,1,2,0.100000,37.969811,27.633801,11.002828,13.234731
2,1,0.900000,0.010000,2,1,2,0.100000,37.022813,28.022711,11.476082,13.561076
3,1,0.900000,0.010000,2,1,2,0.100000,38.046403,25.590790,11.322553,13.879546
4,1,0.900000,0.010000,2,1,2,0.100000,40.289080,28.449960,11.494080,13.139022
5,1,0.900000,0.010000,2,1,2,0.100000,38.685168,27.160534,11.781595,13.605821
6,1,0.900000,0.010000,2,1,2,0.100000,37.425324,26.517389,10.981530,12.635441
7,1,0.900000,0.010000,2,1,2,0.100000,39.203268,29.166118,11.561278,12.613179
8,1,0.900000,0.010000,2,1,2,0.100000,38.334260,28.439886,11.858674,14.114737
9,1,0.900000,0.010000,2,1,2,0.100000,38.673918,27.877520,11.757190,13.506105
10,1,0.900000,0.010000,2,1,2,0.100000,38.025464,28.490464,11.213597,13.699100
