Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.800000,5,50,100,0.100000,3.821658,6.166253,11.526316,11.278575
0,1,0.900000,0.800000,5,100,100,0.100000,0.733901,0.569756,3.578909,3.413020
0,1,0.900000,0.800000,5,150,100,0.100000,0.417718,0.264392,2.892882,2.769399
0,1,0.900000,0.800000,5,200,100,0.100000,0.293520,0.168091,2.611065,2.513463
0,1,0.900000,0.800000,5,250,100,0.100000,0.226313,0.122995,2.470566,2.400364
0,1,0.900000,0.800000,5,300,100,0.100000,0.184814,0.097375,2.375089,2.314966
0,1,0.900000,0.800000,5,350,100,0.100000,0.155738,0.079571,2.305487,2.244313
0,1,0.900000,0.800000,5,400,100,0.100000,0.134201,0.066828,2.267610,2.200172
0,1,0.900000,0.800000,5,450,100,0.100000,0.118884,0.058938,2.240968,2.205294
0,1,0.900000,0.800000,5,500,100,0.100000,0.105840,0.051916,2.209574,2.158208
0,1,0.900000,0.850000,5,50,100,0.100000,5.075218,9.103704,15.282080,15.113571
0,1,0.900000,0.850000,5,100,100,0.100000,0.760078,0.605301,3.778432,3.576398
0,1,0.900000,0.850000,5,150,100,0.100000,0.428069,0.278150,2.971309,2.849366
0,1,0.900000,0.850000,5,200,100,0.100000,0.296857,0.173723,2.648657,2.540838
0,1,0.900000,0.850000,5,250,100,0.100000,0.229189,0.125824,2.513139,2.424987
0,1,0.900000,0.850000,5,300,100,0.100000,0.185937,0.098045,2.394964,2.341439
0,1,0.900000,0.850000,5,350,100,0.100000,0.156552,0.080597,2.331862,2.270758
0,1,0.900000,0.850000,5,400,100,0.100000,0.135580,0.068418,2.296769,2.252170
0,1,0.900000,0.850000,5,450,100,0.100000,0.119113,0.059351,2.257429,2.215307
0,1,0.900000,0.850000,5,500,100,0.100000,0.106739,0.052803,2.226820,2.182719
1,1,0.900000,0.800000,5,50,100,0.100000,3.803607,6.111851,11.467082,11.301833
1,1,0.900000,0.800000,5,100,100,0.100000,0.733539,0.564283,3.615456,3.433830
1,1,0.900000,0.800000,5,150,100,0.100000,0.416455,0.261047,2.895972,2.770889
1,1,0.900000,0.800000,5,200,100,0.100000,0.294052,0.167900,2.607153,2.516045
1,1,0.900000,0.800000,5,250,100,0.100000,0.227588,0.122959,2.478349,2.411054
1,1,0.900000,0.800000,5,300,100,0.100000,0.184468,0.097123,2.372505,2.316712
1,1,0.900000,0.800000,5,350,100,0.100000,0.156117,0.079209,2.326642,2.260929
1,1,0.900000,0.800000,5,400,100,0.100000,0.135087,0.068117,2.267680,2.227024
1,1,0.900000,0.800000,5,450,100,0.100000,0.118338,0.058262,2.238280,2.184089
1,1,0.900000,0.800000,5,500,100,0.100000,0.106057,0.051838,2.207873,2.166292
1,1,0.900000,0.850000,5,50,100,0.100000,4.840505,9.133642,15.435840,15.396531
1,1,0.900000,0.850000,5,100,100,0.100000,0.762089,0.610541,3.759999,3.572427
1,1,0.900000,0.850000,5,150,100,0.100000,0.424659,0.271985,2.950608,2.823110
1,1,0.900000,0.850000,5,200,100,0.100000,0.299207,0.177237,2.653496,2.547778
1,1,0.900000,0.850000,5,250,100,0.100000,0.228200,0.125066,2.515152,2.445101
1,1,0.900000,0.850000,5,300,100,0.100000,0.185568,0.098078,2.411079,2.342637
1,1,0.900000,0.850000,5,350,100,0.100000,0.156885,0.080939,2.350778,2.301761
1,1,0.900000,0.850000,5,400,100,0.100000,0.135199,0.068055,2.300553,2.249584
1,1,0.900000,0.850000,5,450,100,0.100000,0.119296,0.058866,2.255353,2.207509
1,1,0.900000,0.850000,5,500,100,0.100000,0.107078,0.053023,2.227437,2.191684
2,1,0.900000,0.800000,5,50,100,0.100000,3.758866,5.943309,11.354926,11.051765
2,1,0.900000,0.800000,5,100,100,0.100000,0.734732,0.565491,3.586312,3.390321
2,1,0.900000,0.800000,5,150,100,0.100000,0.419206,0.266014,2.881821,2.747493
