Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.827190,5,50,10,0.100000,6.362993,12.673034,12.715843,12.012201
0,1,0.900000,0.836280,5,50,10,0.100000,7.197181,19.675555,13.376641,12.500717
0,1,0.900000,0.845370,5,50,10,0.100000,7.376747,16.902060,13.655503,12.784404
0,1,0.900000,0.854460,5,50,10,0.100000,8.187894,21.018885,14.156334,13.147479
0,1,0.900000,0.863550,5,50,10,0.100000,10.518462,39.329322,15.271987,14.087490
0,1,0.900000,0.872640,5,50,10,0.100000,14.460516,54.891295,16.718393,15.346038
0,1,0.900000,0.881730,5,50,10,0.100000,17.228138,82.038286,16.568263,15.197047
0,1,0.900000,0.890820,5,50,10,0.100000,22.696031,100.217876,17.609909,15.820511
1,1,0.900000,0.827190,5,50,10,0.100000,5.803587,11.999025,12.168270,11.431158
1,1,0.900000,0.836280,5,50,10,0.100000,6.284146,15.696030,12.782909,11.997026
1,1,0.900000,0.845370,5,50,10,0.100000,6.672240,15.052031,13.068542,12.217618
1,1,0.900000,0.854460,5,50,10,0.100000,9.546647,33.684003,14.352745,13.517003
1,1,0.900000,0.863550,5,50,10,0.100000,12.309638,48.062959,15.745996,14.572349
1,1,0.900000,0.872640,5,50,10,0.100000,15.285069,58.446607,16.227529,14.923424
1,1,0.900000,0.881730,5,50,10,0.100000,20.163237,82.724997,17.588421,15.874302
1,1,0.900000,0.890820,5,50,10,0.100000,24.593901,128.605311,17.416676,15.690659
2,1,0.900000,0.827190,5,50,10,0.100000,6.312754,13.438958,12.966061,12.201416
2,1,0.900000,0.836280,5,50,10,0.100000,8.321945,25.220072,13.939653,13.099559
2,1,0.900000,0.845370,5,50,10,0.100000,7.204618,16.027971,13.382167,12.508948
2,1,0.900000,0.854460,5,50,10,0.100000,8.290851,23.329100,14.223923,13.146293
2,1,0.900000,0.863550,5,50,10,0.100000,9.873114,31.050169,15.016863,13.859945
2,1,0.900000,0.872640,5,50,10,0.100000,10.282940,30.633447,15.385746,14.107088
2,1,0.900000,0.881730,5,50,10,0.100000,25.404058,141.162657,16.949161,15.344475
2,1,0.900000,0.890820,5,50,10,0.100000,26.185395,138.099795,17.742720,15.801136
3,1,0.900000,0.827190,5,50,10,0.100000,6.350112,14.177903,12.561520,11.853561
3,1,0.900000,0.836280,5,50,10,0.100000,6.377609,12.645678,12.881756,12.044761
3,1,0.900000,0.845370,5,50,10,0.100000,8.301917,21.860943,13.971415,13.168040
3,1,0.900000,0.854460,5,50,10,0.100000,8.748650,23.068674,14.496154,13.590138
3,1,0.900000,0.863550,5,50,10,0.100000,11.501287,37.972035,15.761420,14.519544
3,1,0.900000,0.872640,5,50,10,0.100000,17.710086,90.521739,16.130264,14.752807
3,1,0.900000,0.881730,5,50,10,0.100000,22.502360,116.016338,17.175970,15.399956
3,1,0.900000,0.890820,5,50,10,0.100000,22.638228,104.753126,17.478401,15.808919
4,1,0.900000,0.827190,5,50,10,0.100000,5.700992,11.996184,12.028633,11.339197
4,1,0.900000,0.836280,5,50,10,0.100000,7.140947,18.151067,13.280196,12.521807
