Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,1.000000,5.100000,20,250,500,0.500000,0.584714,0.908369,0.757901,0.754568
0,1,1.000000,5.200000,20,250,500,0.500000,0.638063,1.087015,0.830727,0.862742
0,1,1.000000,5.300000,20,250,500,0.500000,0.718292,1.240105,0.947483,1.013019
0,1,1.000000,5.400000,20,250,500,0.500000,0.775525,1.384733,1.043169,1.135982
0,1,1.000000,5.500000,20,250,500,0.500000,0.883652,1.886697,1.206423,1.380997
0,1,1.000000,5.600000,20,250,500,0.500000,0.983275,1.990882,1.412888,1.594865
0,1,1.000000,5.700000,20,250,500,0.500000,1.181489,2.920214,1.715115,2.010205
0,1,1.000000,5.800000,20,250,500,0.500000,1.386642,3.722698,2.139251,2.503751
0,1,1.000000,5.900000,20,250,500,0.500000,1.741536,5.725428,2.787221,3.333454
0,1,1.000000,6.000000,20,250,500,0.500000,2.320555,9.318120,3.970648,4.873403
1,1,1.000000,5.100000,20,250,500,0.500000,0.597478,0.963812,0.764644,0.771693
1,1,1.000000,5.200000,20,250,500,0.500000,0.652672,1.104152,0.848394,0.886983
1,1,1.000000,5.300000,20,250,500,0.500000,0.720321,1.268509,0.948371,1.013646
1,1,1.000000,5.400000,20,250,500,0.500000,0.785138,1.464499,1.048243,1.154119
1,1,1.000000,5.500000,20,250,500,0.500000,0.880608,1.661427,1.221915,1.366597
1,1,1.000000,5.600000,20,250,500,0.500000,0.999148,2.147850,1.433741,1.648094
1,1,1.000000,5.700000,20,250,500,0.500000,1.178687,3.039152,1.724808,2.031549
1,1,1.000000,5.800000,20,250,500,0.500000,1.392805,3.938109,2.129127,2.502130
1,1,1.000000,5.900000,20,250,500,0.500000,1.736811,5.695974,2.737384,3.317670
1,1,1.000000,6.000000,20,250,500,0.500000,2.545810,10.045562,4.292956,5.400673
2,1,1.000000,5.100000,20,250,500,0.500000,0.590477,0.932698,0.766922,0.763575
2,1,1.000000,5.200000,20,250,500,0.500000,0.648855,1.068618,0.849360,0.879365
2,1,1.000000,5.300000,20,250,500,0.500000,0.705294,1.204656,0.938990,0.991326
2,1,1.000000,5.400000,20,250,500,0.500000,0.797135,1.458527,1.072348,1.191963
2,1,1.000000,5.500000,20,250,500,0.500000,0.866552,1.690027,1.204314,1.337549
2,1,1.000000,5.600000,20,250,500,0.500000,1.002717,1.999553,1.424746,1.618505
2,1,1.000000,5.700000,20,250,500,0.500000,1.170162,2.897784,1.714991,2.006219
2,1,1.000000,5.800000,20,250,500,0.500000,1.329384,3.356211,2.059708,2.376780
2,1,1.000000,5.900000,20,250,500,0.500000,1.750270,6.020751,2.815624,3.376728
2,1,1.000000,6.000000,20,250,500,0.500000,2.481960,10.267667,4.166002,5.301300
3,1,1.000000,5.100000,20,250,500,0.500000,0.597323,0.950381,0.763762,0.768150
3,1,1.000000,5.200000,20,250,500,0.500000,0.649203,1.077281,0.852161,0.873994
3,1,1.000000,5.300000,20,250,500,0.500000,0.712324,1.234045,0.933915,1.000306
3,1,1.000000,5.400000,20,250,500,0.500000,0.791448,1.460920,1.056130,1.168463
3,1,1.000000,5.500000,20,250,500,0.500000,0.894116,1.769273,1.237085,1.390075
3,1,1.000000,5.600000,20,250,500,0.500000,0.977262,1.909669,1.399805,1.571672
3,1,1.000000,5.700000,20,250,500,0.500000,1.154909,2.785588,1.708487,1.973353
3,1,1.000000,5.800000,20,250,500,0.500000,1.359961,3.570671,2.063963,2.414971
