Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.500000,0.700000,5,50,500,0.500000,0.230216,0.119176,0.551447,0.475973
0,1,0.500000,0.700000,10,50,500,0.500000,0.541162,0.289004,0.486022,0.354725
0,1,0.500000,0.700000,15,50,500,0.500000,0.992194,0.655326,0.618493,0.468444
0,1,0.500000,0.700000,20,50,500,0.500000,1.689871,1.319909,0.929457,0.786254
0,1,0.500000,0.700000,25,50,500,0.500000,3.041533,3.212607,1.591569,1.507730
0,1,0.500000,0.700000,30,50,500,0.500000,6.264669,8.976983,3.115224,3.253072
0,1,0.500000,0.700000,5,100,500,0.500000,0.107046,0.051694,0.471704,0.432553
0,1,0.500000,0.700000,10,100,500,0.500000,0.230334,0.095360,0.324710,0.248838
0,1,0.500000,0.700000,15,100,500,0.500000,0.372404,0.160691,0.311804,0.211300
0,1,0.500000,0.700000,20,100,500,0.500000,0.539671,0.256549,0.344258,0.229506
0,1,0.500000,0.700000,25,100,500,0.500000,0.745002,0.407909,0.406581,0.290731
0,1,0.500000,0.700000,30,100,500,0.500000,0.988598,0.619483,0.493053,0.394445
1,1,0.500000,0.700000,5,50,500,0.500000,0.229489,0.119418,0.550946,0.477573
1,1,0.500000,0.700000,10,50,500,0.500000,0.539885,0.287923,0.484604,0.352262
1,1,0.500000,0.700000,15,50,500,0.500000,0.992434,0.637834,0.616966,0.460668
1,1,0.500000,0.700000,20,50,500,0.500000,1.707914,1.384740,0.937018,0.797087
1,1,0.500000,0.700000,25,50,500,0.500000,2.943249,2.921142,1.559910,1.459600
1,1,0.500000,0.700000,30,50,500,0.500000,6.122156,8.670274,3.067255,3.118482
1,1,0.500000,0.700000,5,100,500,0.500000,0.107079,0.051488,0.472397,0.433761
1,1,0.500000,0.700000,10,100,500,0.500000,0.229399,0.094135,0.324916,0.247372
1,1,0.500000,0.700000,15,100,500,0.500000,0.371357,0.158488,0.313840,0.212117
1,1,0.500000,0.700000,20,100,500,0.500000,0.540159,0.258009,0.343603,0.230210
1,1,0.500000,0.700000,25,100,500,0.500000,0.742157,0.408353,0.403029,0.289049
1,1,0.500000,0.700000,30,100,500,0.500000,0.986532,0.603754,0.493075,0.389264
2,1,0.500000,0.700000,5,50,500,0.500000,0.229743,0.119331,0.550363,0.480393
2,1,0.500000,0.700000,10,50,500,0.500000,0.540452,0.287394,0.484811,0.350820
2,1,0.500000,0.700000,15,50,500,0.500000,0.998399,0.649712,0.626294,0.470610
2,1,0.500000,0.700000,20,50,500,0.500000,1.708349,1.357345,0.933813,0.784305
2,1,0.500000,0.700000,25,50,500,0.500000,2.979693,2.941275,1.577519,1.453788
2,1,0.500000,0.700000,30,50,500,0.500000,6.309532,8.615327,3.185373,3.203253
2,1,0.500000,0.700000,5,100,500,0.500000,0.106853,0.051476,0.468970,0.431305
2,1,0.500000,0.700000,10,100,500,0.500000,0.229900,0.095693,0.324205,0.249040
2,1,0.500000,0.700000,15,100,500,0.500000,0.373651,0.164599,0.314611,0.213114
2,1,0.500000,0.700000,20,100,500,0.500000,0.538790,0.258533,0.343314,0.228307
2,1,0.500000,0.700000,25,100,500,0.500000,0.741241,0.400156,0.403088,0.290417
2,1,0.500000,0.700000,30,100,500,0.500000,0.990123,0.609717,0.496303,0.390022
3,1,0.500000,0.700000,5,50,500,0.500000,0.231384,0.122764,0.552353,0.481778
3,1,0.500000,0.700000,10,50,500,0.500000,0.539289,0.285684,0.483356,0.351277
3,1,0.500000,0.700000,15,50,500,0.500000,0.990412,0.650476,0.616378,0.460338
3,1,0.500000,0.700000,20,50,500,0.500000,1.707467,1.345856,0.942534,0.800847
3,1,0.500000,0.700000,25,50,500,0.500000,2.976188,3.046962,1.564560,1.434977
3,1,0.500000,0.700000,30,50,500,0.500000,6.269156,8.717887,3.142720,3.269770
3,1,0.500000,0.700000,5,100,500,0.500000,0.107364,0.051726,0.472791,0.433521
3,1,0.500000,0.700000,10,100,500,0.500000,0.229611,0.094933,0.323342,0.248562
3,1,0.500000,0.700000,15,100,500,0.500000,0.371331,0.159662,0.314284,0.212648
3,1,0.500000,0.700000,20,100,500,0.500000,0.542905,0.261395,0.343763,0.228500
3,1,0.500000,0.700000,25,100,500,0.500000,0.741379,0.405444,0.402077,0.290971
3,1,0.500000,0.700000,30,100,500,0.500000,0.986247,0.607434,0.493526,0.391014
4,1,0.500000,0.700000,5,50,500,0.500000,0.230181,0.120084,0.552490,0.483047
4,1,0.500000,0.700000,10,50,500,0.500000,0.543438,0.295360,0.486423,0.352038
4,1,0.500000,0.700000,15,50,500,0.500000,0.994162,0.651514,0.619997,0.465854
4,1,0.500000,0.700000,20,50,500,0.500000,1.685919,1.304901,0.926621,0.782251
4,1,0.500000,0.700000,25,50,500,0.500000,2.969954,3.001822,1.566831,1.446164
4,1,0.500000,0.700000,30,50,500,0.500000,6.564997,9.429074,3.255133,3.479077
4,1,0.500000,0.700000,5,100,500,0.500000,0.106812,0.051476,0.470272,0.431839
4,1,0.500000,0.700000,10,100,500,0.500000,0.229928,0.096615,0.324699,0.251011
4,1,0.500000,0.700000,15,100,500,0.500000,0.372268,0.160920,0.311915,0.212537
4,1,0.500000,0.700000,20,100,500,0.500000,0.538725,0.258351,0.341717,0.228070
4,1,0.500000,0.700000,25,100,500,0.500000,0.742270,0.403968,0.404626,0.290255
4,1,0.500000,0.700000,30,100,500,0.500000,0.989867,0.606036,0.493153,0.389703
5,1,0.500000,0.700000,5,50,500,0.500000,0.230286,0.121204,0.550696,0.481265
5,1,0.500000,0.700000,10,50,500,0.500000,0.539071,0.285082,0.485009,0.348963
5,1,0.500000,0.700000,15,50,500,0.500000,0.991008,0.647915,0.616484,0.457383
5,1,0.500000,0.700000,20,50,500,0.500000,1.692316,1.286368,0.928693,0.780800
5,1,0.500000,0.700000,25,50,500,0.500000,2.997292,3.033170,1.577140,1.472829
5,1,0.500000,0.700000,30,50,500,0.500000,6.383152,9.177870,3.159082,3.345983
5,1,0.500000,0.700000,5,100,500,0.500000,0.106857,0.051391,0.471003,0.434937
5,1,0.500000,0.700000,10,100,500,0.500000,0.228948,0.093947,0.323368,0.246739
5,1,0.500000,0.700000,15,100,500,0.500000,0.371156,0.159719,0.312663,0.211994
5,1,0.500000,0.700000,20,100,500,0.500000,0.539715,0.259834,0.342253,0.229158
5,1,0.500000,0.700000,25,100,500,0.500000,0.743449,0.407366,0.403490,0.291142
5,1,0.500000,0.700000,30,100,500,0.500000,0.986210,0.611250,0.493807,0.391431
6,1,0.500000,0.700000,5,50,500,0.500000,0.230043,0.119707,0.552811,0.482829
6,1,0.500000,0.700000,10,50,500,0.500000,0.541165,0.288814,0.485539,0.351220
6,1,0.500000,0.700000,15,50,500,0.500000,0.989543,0.632682,0.616542,0.458385
6,1,0.500000,0.700000,20,50,500,0.500000,1.692464,1.321221,0.927745,0.791745
6,1,0.500000,0.700000,25,50,500,0.500000,2.927343,2.820644,1.543278,1.401255
6,1,0.500000,0.700000,30,50,500,0.500000,6.539658,10.182622,3.279769,3.629696
6,1,0.500000,0.700000,5,100,500,0.500000,0.106992,0.051560,0.472141,0.433560
6,1,0.500000,0.700000,10,100,500,0.500000,0.230172,0.096550,0.323657,0.247234
6,1,0.500000,0.700000,15,100,500,0.500000,0.371235,0.159932,0.313467,0.211802
6,1,0.500000,0.700000,20,100,500,0.500000,0.541151,0.262594,0.343910,0.229865
6,1,0.500000,0.700000,25,100,500,0.500000,0.745057,0.411234,0.404975,0.293612
6,1,0.500000,0.700000,30,100,500,0.500000,0.987652,0.616000,0.492823,0.388851
7,1,0.500000,0.700000,5,50,500,0.500000,0.230432,0.120014,0.548346,0.475052
7,1,0.500000,0.700000,10,50,500,0.500000,0.541518,0.290169,0.485401,0.352128
7,1,0.500000,0.700000,15,50,500,0.500000,0.992220,0.637542,0.617555,0.457690
7,1,0.500000,0.700000,20,50,500,0.500000,1.694353,1.344593,0.924210,0.783870
7,1,0.500000,0.700000,25,50,500,0.500000,2.965139,2.919520,1.565152,1.435070
7,1,0.500000,0.700000,30,50,500,0.500000,6.380056,9.072177,3.148131,3.343080
7,1,0.500000,0.700000,5,100,500,0.500000,0.106755,0.051453,0.472593,0.434404
7,1,0.500000,0.700000,10,100,500,0.500000,0.229878,0.096080,0.324095,0.250400
7,1,0.500000,0.700000,15,100,500,0.500000,0.372059,0.161569,0.314202,0.212069
7,1,0.500000,0.700000,20,100,500,0.500000,0.544171,0.271519,0.343012,0.232344
7,1,0.500000,0.700000,25,100,500,0.500000,0.741215,0.402007,0.403487,0.292380
7,1,0.500000,0.700000,30,100,500,0.500000,0.989752,0.616825,0.495333,0.392257
8,1,0.500000,0.700000,5,50,500,0.500000,0.230254,0.120961,0.549010,0.477464
8,1,0.500000,0.700000,10,50,500,0.500000,0.541006,0.288771,0.487400,0.351267
8,1,0.500000,0.700000,15,50,500,0.500000,0.994211,0.646887,0.618644,0.462957
8,1,0.500000,0.700000,20,50,500,0.500000,1.702177,1.348754,0.933730,0.783863
8,1,0.500000,0.700000,25,50,500,0.500000,2.951417,2.932494,1.551330,1.407441
8,1,0.500000,0.700000,30,50,500,0.500000,6.363815,8.923532,3.178895,3.290721
8,1,0.500000,0.700000,5,100,500,0.500000,0.107183,0.051765,0.471169,0.431566
8,1,0.500000,0.700000,10,100,500,0.500000,0.230259,0.095712,0.323406,0.247253
8,1,0.500000,0.700000,15,100,500,0.500000,0.372092,0.160865,0.312103,0.211691
8,1,0.500000,0.700000,20,100,500,0.500000,0.539229,0.258616,0.343090,0.228956
8,1,0.500000,0.700000,25,100,500,0.500000,0.743467,0.407851,0.402939,0.289182
8,1,0.500000,0.700000,30,100,500,0.500000,0.988351,0.610863,0.493674,0.389974
9,1,0.500000,0.700000,5,50,500,0.500000,0.230198,0.121643,0.551214,0.479014
9,1,0.500000,0.700000,10,50,500,0.500000,0.539129,0.288255,0.485016,0.351961
9,1,0.500000,0.700000,15,50,500,0.500000,0.990118,0.648669,0.615237,0.463028
9,1,0.500000,0.700000,20,50,500,0.500000,1.680921,1.301171,0.928180,0.788244
9,1,0.500000,0.700000,25,50,500,0.500000,2.987792,3.016263,1.562239,1.441235
9,1,0.500000,0.700000,30,50,500,0.500000,6.542710,9.359289,3.255297,3.484899
9,1,0.500000,0.700000,5,100,500,0.500000,0.106789,0.051713,0.473409,0.436518
9,1,0.500000,0.700000,10,100,500,0.500000,0.230285,0.095598,0.324397,0.248297
9,1,0.500000,0.700000,15,100,500,0.500000,0.372722,0.161220,0.312912,0.211317
9,1,0.500000,0.700000,20,100,500,0.500000,0.541139,0.261449,0.344413,0.230314
9,1,0.500000,0.700000,25,100,500,0.500000,0.739770,0.400544,0.401998,0.290388
9,1,0.500000,0.700000,30,100,500,0.500000,0.986517,0.608537,0.491903,0.389751
10,1,0.500000,0.700000,5,50,500,0.500000,0.229967,0.120135,0.550599,0.479956
10,1,0.500000,0.700000,10,50,500,0.500000,0.540637,0.286599,0.486458,0.353021
10,1,0.500000,0.700000,15,50,500,0.500000,0.988975,0.641320,0.618407,0.464819
10,1,0.500000,0.700000,20,50,500,0.500000,1.693632,1.348722,0.928470,0.784071
10,1,0.500000,0.700000,25,50,500,0.500000,2.998829,3.072494,1.575581,1.447849
10,1,0.500000,0.700000,30,50,500,0.500000,6.483189,10.140648,3.189768,3.435404
10,1,0.500000,0.700000,5,100,500,0.500000,0.106850,0.051388,0.468931,0.432595
10,1,0.500000,0.700000,10,100,500,0.500000,0.229530,0.095446,0.325653,0.250101
10,1,0.500000,0.700000,15,100,500,0.500000,0.373001,0.163856,0.314816,0.214334
10,1,0.500000,0.700000,20,100,500,0.500000,0.540102,0.257781,0.343216,0.228541
10,1,0.500000,0.700000,25,100,500,0.500000,0.742402,0.404500,0.403417,0.290273
10,1,0.500000,0.700000,30,100,500,0.500000,0.989941,0.612737,0.495615,0.391668
