Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.500000,0.700000,5,50,500,0.500000,0.229693,0.121413,0.484418,0.415505
0,1,0.500000,0.700000,10,50,500,0.500000,0.540871,0.289018,0.383384,0.273346
0,1,0.500000,0.700000,15,50,500,0.500000,0.978480,0.633200,0.416970,0.307284
0,1,0.500000,0.700000,20,50,500,0.500000,1.620749,1.291351,0.490562,0.421222
0,1,0.500000,0.700000,25,50,500,0.500000,2.909422,3.649434,0.610115,0.619444
0,1,0.500000,0.700000,30,50,500,0.500000,6.932664,11.294572,0.900075,1.581087
0,1,0.500000,0.700000,5,100,500,0.500000,0.107494,0.051634,0.436323,0.404758
0,1,0.500000,0.700000,10,100,500,0.500000,0.228541,0.092389,0.293143,0.220592
0,1,0.500000,0.700000,15,100,500,0.500000,0.369406,0.157029,0.270012,0.176269
0,1,0.500000,0.700000,20,100,500,0.500000,0.539157,0.259644,0.275355,0.172007
0,1,0.500000,0.700000,25,100,500,0.500000,0.725545,0.380954,0.292152,0.207548
0,1,0.500000,0.700000,30,100,500,0.500000,0.972194,0.573857,0.316480,0.229787
1,1,0.500000,0.700000,5,50,500,0.500000,0.228203,0.116221,0.489650,0.440906
1,1,0.500000,0.700000,10,50,500,0.500000,0.538419,0.280267,0.380197,0.270860
1,1,0.500000,0.700000,15,50,500,0.500000,0.964695,0.598720,0.408572,0.283570
1,1,0.500000,0.700000,20,50,500,0.500000,1.662016,1.252710,0.491622,0.407682
1,1,0.500000,0.700000,25,50,500,0.500000,2.927176,3.076394,0.638450,0.734186
1,1,0.500000,0.700000,30,50,500,0.500000,5.868730,8.725197,0.850405,1.263309
1,1,0.500000,0.700000,5,100,500,0.500000,0.107812,0.052023,0.441272,0.398777
1,1,0.500000,0.700000,10,100,500,0.500000,0.230652,0.097697,0.293657,0.222202
1,1,0.500000,0.700000,15,100,500,0.500000,0.370648,0.160294,0.265688,0.174534
1,1,0.500000,0.700000,20,100,500,0.500000,0.541870,0.263101,0.274573,0.173295
1,1,0.500000,0.700000,25,100,500,0.500000,0.736842,0.386628,0.296290,0.201402
1,1,0.500000,0.700000,30,100,500,0.500000,0.973247,0.601579,0.320781,0.236341
2,1,0.500000,0.700000,5,50,500,0.500000,0.230351,0.122663,0.493498,0.444301
