Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,1.000000,5.170438,20,250,10,0.500000,0.941926,1.824054,0.461712,0.524547
0,1,1.000000,5.227256,20,250,10,0.500000,0.915084,1.762190,0.461252,0.505517
0,1,1.000000,5.284074,20,250,10,0.500000,1.003584,1.883379,0.476260,0.516954
0,1,1.000000,5.340892,20,250,10,0.500000,1.246848,3.725338,0.507731,0.627142
0,1,1.000000,5.397710,20,250,10,0.500000,1.739223,6.022376,0.541395,0.683517
0,1,1.000000,5.454528,20,250,10,0.500000,1.974080,7.423873,0.556774,0.728570
0,1,1.000000,5.511346,20,250,10,0.500000,2.802107,13.252628,0.562570,0.878015
0,1,1.000000,5.568164,20,250,10,0.500000,3.267972,15.116953,0.602485,0.907565
1,1,1.000000,5.170438,20,250,10,0.500000,0.864489,1.730314,0.435801,0.449238
1,1,1.000000,5.227256,20,250,10,0.500000,0.850016,1.585032,0.448426,0.472972
1,1,1.000000,5.284074,20,250,10,0.500000,1.097841,2.960705,0.474489,0.552154
1,1,1.000000,5.340892,20,250,10,0.500000,1.226734,3.051874,0.501245,0.579665
1,1,1.000000,5.397710,20,250,10,0.500000,1.447009,3.718495,0.524756,0.635247
1,1,1.000000,5.454528,20,250,10,0.500000,1.766059,6.487657,0.539795,0.697494
1,1,1.000000,5.511346,20,250,10,0.500000,2.680634,10.916943,0.579868,0.841354
1,1,1.000000,5.568164,20,250,10,0.500000,3.116594,13.902533,0.610184,0.895878
2,1,1.000000,5.170438,20,250,10,0.500000,0.802932,1.455821,0.432844,0.429440
2,1,1.000000,5.227256,20,250,10,0.500000,0.919157,1.810476,0.455358,0.506523
2,1,1.000000,5.284074,20,250,10,0.500000,0.971426,1.985360,0.466061,0.503190
2,1,1.000000,5.340892,20,250,10,0.500000,1.163085,2.735012,0.490740,0.582567
2,1,1.000000,5.397710,20,250,10,0.500000,1.685027,4.641789,0.537061,0.657691
2,1,1.000000,5.454528,20,250,10,0.500000,1.572977,4.733908,0.523422,0.660410
2,1,1.000000,5.511346,20,250,10,0.500000,2.251024,9.838330,0.559148,0.728825
2,1,1.000000,5.568164,20,250,10,0.500000,5.508590,32.374358,0.619794,0.988426
3,1,1.000000,5.170438,20,250,10,0.500000,0.871067,1.616181,0.445722,0.468477
3,1,1.000000,5.227256,20,250,10,0.500000,0.952734,1.783359,0.464694,0.498864
3,1,1.000000,5.284074,20,250,10,0.500000,1.041519,2.131978,0.481920,0.540804
3,1,1.000000,5.340892,20,250,10,0.500000,1.489452,6.006455,0.500788,0.615411
3,1,1.000000,5.397710,20,250,10,0.500000,1.635178,4.923462,0.535963,0.712842
3,1,1.000000,5.454528,20,250,10,0.500000,1.622387,4.455464,0.539621,0.663967
3,1,1.000000,5.511346,20,250,10,0.500000,2.313054,8.682029,0.579906,0.759472
3,1,1.000000,5.568164,20,250,10,0.500000,4.449873,23.017400,0.619826,1.052891
4,1,1.000000,5.170438,20,250,10,0.500000,0.879998,1.645439,0.447733,0.475857
4,1,1.000000,5.227256,20,250,10,0.500000,1.024057,2.292717,0.469756,0.513859
4,1,1.000000,5.284074,20,250,10,0.500000,1.072451,2.177645,0.480862,0.533948
4,1,1.000000,5.340892,20,250,10,0.500000,1.095754,2.533364,0.487726,0.556938
4,1,1.000000,5.397710,20,250,10,0.500000,1.619261,5.414183,0.536510,0.715584
4,1,1.000000,5.454528,20,250,10,0.500000,1.589201,4.029840,0.536846,0.649453
4,1,1.000000,5.511346,20,250,10,0.500000,2.249310,9.513771,0.568235,0.764245
4,1,1.000000,5.568164,20,250,10,0.500000,6.095141,34.126198,0.603059,1.094985
5,1,1.000000,5.170438,20,250,10,0.500000,0.883747,1.690175,0.453873,0.502574
5,1,1.000000,5.227256,20,250,10,0.500000,0.938331,1.827167,0.454282,0.491279
5,1,1.000000,5.284074,20,250,10,0.500000,1.017987,1.969834,0.476401,0.522273
5,1,1.000000,5.340892,20,250,10,0.500000,1.167311,2.835112,0.494641,0.588725
5,1,1.000000,5.397710,20,250,10,0.500000,1.347243,3.117007,0.517811,0.653240
5,1,1.000000,5.454528,20,250,10,0.500000,2.093235,9.944154,0.538821,0.730643
5,1,1.000000,5.511346,20,250,10,0.500000,2.642560,14.406678,0.577831,0.785092
5,1,1.000000,5.568164,20,250,10,0.500000,3.932842,18.200682,0.597747,0.931236
6,1,1.000000,5.170438,20,250,10,0.500000,0.846382,1.606751,0.442940,0.463247
6,1,1.000000,5.227256,20,250,10,0.500000,1.004641,1.992296,0.465467,0.522479
6,1,1.000000,5.284074,20,250,10,0.500000,1.052743,2.847633,0.464234,0.502909
6,1,1.000000,5.340892,20,250,10,0.500000,1.291406,3.245434,0.509352,0.607122
6,1,1.000000,5.397710,20,250,10,0.500000,1.663732,4.316815,0.544154,0.709360
6,1,1.000000,5.454528,20,250,10,0.500000,1.987204,9.976108,0.552095,0.770021
6,1,1.000000,5.511346,20,250,10,0.500000,3.579926,30.199629,0.571060,0.858299
6,1,1.000000,5.568164,20,250,10,0.500000,4.412471,22.607139,0.606949,0.961894
7,1,1.000000,5.170438,20,250,10,0.500000,0.821921,1.596059,0.433949,0.460181
7,1,1.000000,5.227256,20,250,10,0.500000,0.926278,1.862393,0.458553,0.500714
7,1,1.000000,5.284074,20,250,10,0.500000,1.112529,4.434061,0.474454,0.541292
7,1,1.000000,5.340892,20,250,10,0.500000,1.134921,2.647599,0.495093,0.583341
7,1,1.000000,5.397710,20,250,10,0.500000,1.296968,3.455166,0.511804,0.656209
7,1,1.000000,5.454528,20,250,10,0.500000,2.769487,12.710487,0.575984,0.846366
7,1,1.000000,5.511346,20,250,10,0.500000,3.159051,17.921699,0.591914,0.875167
7,1,1.000000,5.568164,20,250,10,0.500000,3.344183,17.622331,0.591327,0.804106
8,1,1.000000,5.170438,20,250,10,0.500000,0.875271,1.653106,0.446158,0.479114
8,1,1.000000,5.227256,20,250,10,0.500000,0.963925,2.049975,0.458147,0.496440
8,1,1.000000,5.284074,20,250,10,0.500000,1.232599,3.316263,0.489856,0.574014
8,1,1.000000,5.340892,20,250,10,0.500000,1.366028,3.193449,0.513410,0.591214
8,1,1.000000,5.397710,20,250,10,0.500000,1.559678,4.370325,0.529334,0.696412
8,1,1.000000,5.454528,20,250,10,0.500000,2.473290,14.927339,0.548329,0.733374
8,1,1.000000,5.511346,20,250,10,0.500000,1.772097,5.019701,0.564006,0.693340
8,1,1.000000,5.568164,20,250,10,0.500000,3.772014,17.772583,0.588349,0.976443
9,1,1.000000,5.170438,20,250,10,0.500000,0.946538,2.027155,0.449773,0.480701
9,1,1.000000,5.227256,20,250,10,0.500000,0.916002,1.868095,0.455239,0.499392
9,1,1.000000,5.284074,20,250,10,0.500000,1.137826,2.646225,0.484909,0.552120
9,1,1.000000,5.340892,20,250,10,0.500000,1.163086,2.692627,0.484797,0.572365
9,1,1.000000,5.397710,20,250,10,0.500000,1.483513,3.847105,0.527238,0.634959
9,1,1.000000,5.454528,20,250,10,0.500000,1.833064,7.741484,0.547854,0.752109
9,1,1.000000,5.511346,20,250,10,0.500000,2.578917,12.417611,0.590124,0.855862
9,1,1.000000,5.568164,20,250,10,0.500000,3.991788,22.535697,0.599592,0.873130
10,1,1.000000,5.170438,20,250,10,0.500000,0.880006,1.624332,0.447562,0.462178
