Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,1.000000,1.000000,20,250,500,0.500000,0.183883,0.066561,0.182640,0.124440
0,1,1.000000,1.500000,20,250,500,0.500000,0.196420,0.087991,0.192581,0.134550
0,1,1.000000,2.000000,20,250,500,0.500000,0.210607,0.110642,0.202969,0.141252
0,1,1.000000,2.500000,20,250,500,0.500000,0.231542,0.145557,0.216937,0.156151
0,1,1.000000,3.000000,20,250,500,0.500000,0.257916,0.192883,0.237011,0.177240
0,1,1.000000,3.500000,20,250,500,0.500000,0.286304,0.238791,0.255039,0.194136
0,1,1.000000,4.000000,20,250,500,0.500000,0.338506,0.335960,0.286872,0.227060
0,1,1.000000,4.500000,20,250,500,0.500000,0.407585,0.495270,0.328800,0.278921
0,1,1.000000,5.000000,20,250,500,0.500000,0.534288,0.775024,0.399720,0.362434
1,1,1.000000,1.000000,20,250,500,0.500000,0.184500,0.068176,0.182623,0.122650
1,1,1.000000,1.500000,20,250,500,0.500000,0.198048,0.090006,0.192352,0.133350
1,1,1.000000,2.000000,20,250,500,0.500000,0.213653,0.117258,0.203726,0.142589
1,1,1.000000,2.500000,20,250,500,0.500000,0.231565,0.151309,0.217827,0.156212
1,1,1.000000,3.000000,20,250,500,0.500000,0.261533,0.202127,0.236010,0.176392
1,1,1.000000,3.500000,20,250,500,0.500000,0.291262,0.247443,0.257237,0.197039
1,1,1.000000,4.000000,20,250,500,0.500000,0.336594,0.341734,0.285414,0.226321
1,1,1.000000,4.500000,20,250,500,0.500000,0.418406,0.507377,0.330108,0.274761
1,1,1.000000,5.000000,20,250,500,0.500000,0.532940,0.741339,0.405062,0.369816
2,1,1.000000,1.000000,20,250,500,0.500000,0.184802,0.068480,0.183039,0.125266
2,1,1.000000,1.500000,20,250,500,0.500000,0.195491,0.084876,0.192131,0.130615
2,1,1.000000,2.000000,20,250,500,0.500000,0.211146,0.112273,0.201355,0.140511
2,1,1.000000,2.500000,20,250,500,0.500000,0.234565,0.152537,0.219405,0.158386
2,1,1.000000,3.000000,20,250,500,0.500000,0.260894,0.203801,0.233986,0.171140
2,1,1.000000,3.500000,20,250,500,0.500000,0.288666,0.247850,0.256711,0.197659
2,1,1.000000,4.000000,20,250,500,0.500000,0.342365,0.341345,0.290044,0.231752
2,1,1.000000,4.500000,20,250,500,0.500000,0.427252,0.549740,0.337689,0.285402
2,1,1.000000,5.000000,20,250,500,0.500000,0.564425,0.876083,0.405277,0.370034
3,1,1.000000,1.000000,20,250,500,0.500000,0.184878,0.069240,0.182912,0.124733
3,1,1.000000,1.500000,20,250,500,0.500000,0.195931,0.085860,0.190854,0.131092
3,1,1.000000,2.000000,20,250,500,0.500000,0.211683,0.112660,0.204055,0.142514
3,1,1.000000,2.500000,20,250,500,0.500000,0.232514,0.150640,0.218835,0.156679
3,1,1.000000,3.000000,20,250,500,0.500000,0.257817,0.196440,0.234702,0.174056
3,1,1.000000,3.500000,20,250,500,0.500000,0.293476,0.257827,0.256502,0.196621
3,1,1.000000,4.000000,20,250,500,0.500000,0.342811,0.349223,0.287302,0.226580
3,1,1.000000,4.500000,20,250,500,0.500000,0.429579,0.581646,0.337932,0.285767
3,1,1.000000,5.000000,20,250,500,0.500000,0.557561,0.865435,0.402751,0.369762
4,1,1.000000,1.000000,20,250,500,0.500000,0.186279,0.070028,0.182017,0.125148
4,1,1.000000,1.500000,20,250,500,0.500000,0.198208,0.095902,0.193527,0.134894
4,1,1.000000,2.000000,20,250,500,0.500000,0.210350,0.112842,0.200093,0.138706
4,1,1.000000,2.500000,20,250,500,0.500000,0.230726,0.148271,0.216041,0.154906
4,1,1.000000,3.000000,20,250,500,0.500000,0.260911,0.202071,0.236865,0.177106
