Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.500000,0.700000,5,50,500,0.500000,0.231185,0.120658,0.522527,0.463731
0,1,0.500000,0.700000,10,50,500,0.500000,0.545863,0.295584,0.430715,0.306163
0,1,0.500000,0.700000,15,50,500,0.500000,0.986219,0.629149,0.509844,0.370617
0,1,0.500000,0.700000,20,50,500,0.500000,1.671127,1.231080,0.691770,0.566680
0,1,0.500000,0.700000,25,50,500,0.500000,2.824281,2.881905,0.983375,0.934847
0,1,0.500000,0.700000,30,50,500,0.500000,5.248058,6.982359,1.613934,1.777554
0,1,0.500000,0.700000,5,100,500,0.500000,0.106704,0.052131,0.452544,0.429223
0,1,0.500000,0.700000,10,100,500,0.500000,0.227834,0.092474,0.307782,0.234366
0,1,0.500000,0.700000,15,100,500,0.500000,0.374245,0.161829,0.290343,0.193876
0,1,0.500000,0.700000,20,100,500,0.500000,0.535961,0.253131,0.308644,0.199076
0,1,0.500000,0.700000,25,100,500,0.500000,0.739689,0.391013,0.342695,0.245649
0,1,0.500000,0.700000,30,100,500,0.500000,0.991332,0.608792,0.405759,0.310984
1,1,0.500000,0.700000,5,50,500,0.500000,0.229046,0.115830,0.518123,0.453128
1,1,0.500000,0.700000,10,50,500,0.500000,0.542791,0.292085,0.432615,0.309258
1,1,0.500000,0.700000,15,50,500,0.500000,0.974879,0.650199,0.505625,0.379828
1,1,0.500000,0.700000,20,50,500,0.500000,1.686127,1.369363,0.686413,0.577276
1,1,0.500000,0.700000,25,50,500,0.500000,2.958272,2.933727,1.033652,1.021453
1,1,0.500000,0.700000,30,50,500,0.500000,6.726636,9.712464,1.968593,2.495130
1,1,0.500000,0.700000,5,100,500,0.500000,0.106826,0.051902,0.452508,0.417479
1,1,0.500000,0.700000,10,100,500,0.500000,0.227212,0.089808,0.302777,0.227303
1,1,0.500000,0.700000,15,100,500,0.500000,0.369204,0.155410,0.289672,0.194336
1,1,0.500000,0.700000,20,100,500,0.500000,0.543030,0.259729,0.304630,0.203634
1,1,0.500000,0.700000,25,100,500,0.500000,0.733230,0.382287,0.343359,0.238090
1,1,0.500000,0.700000,30,100,500,0.500000,0.994486,0.624031,0.405758,0.324031
2,1,0.500000,0.700000,5,50,500,0.500000,0.229683,0.121978,0.517758,0.457430
2,1,0.500000,0.700000,10,50,500,0.500000,0.544400,0.285779,0.432591,0.305220
2,1,0.500000,0.700000,15,50,500,0.500000,0.988544,0.641460,0.506172,0.371855
2,1,0.500000,0.700000,20,50,500,0.500000,1.672379,1.299002,0.682991,0.562199
2,1,0.500000,0.700000,25,50,500,0.500000,2.963400,2.905796,1.033571,0.977056
2,1,0.500000,0.700000,30,50,500,0.500000,5.362816,6.944348,1.640105,1.697341
2,1,0.500000,0.700000,5,100,500,0.500000,0.107420,0.050788,0.461007,0.419859
2,1,0.500000,0.700000,10,100,500,0.500000,0.228178,0.093544,0.305949,0.232088
2,1,0.500000,0.700000,15,100,500,0.500000,0.370795,0.156189,0.289576,0.192353
2,1,0.500000,0.700000,20,100,500,0.500000,0.540437,0.268080,0.305483,0.200840
2,1,0.500000,0.700000,25,100,500,0.500000,0.745141,0.418538,0.344549,0.242798
2,1,0.500000,0.700000,30,100,500,0.500000,0.977656,0.587467,0.396011,0.305940
3,1,0.500000,0.700000,5,50,500,0.500000,0.227477,0.115735,0.516788,0.446034
3,1,0.500000,0.700000,10,50,500,0.500000,0.540379,0.278133,0.432864,0.303638
3,1,0.500000,0.700000,15,50,500,0.500000,1.001828,0.636898,0.514003,0.382537
3,1,0.500000,0.700000,20,50,500,0.500000,1.657288,1.336693,0.667228,0.541262
3,1,0.500000,0.700000,25,50,500,0.500000,2.839128,2.656544,1.014368,1.013269
3,1,0.500000,0.700000,30,50,500,0.500000,6.104011,9.777515,1.800737,2.247682
3,1,0.500000,0.700000,5,100,500,0.500000,0.107006,0.051273,0.466340,0.427108
3,1,0.500000,0.700000,10,100,500,0.500000,0.230387,0.100924,0.303299,0.232527
3,1,0.500000,0.700000,15,100,500,0.500000,0.374287,0.165745,0.288491,0.191469
3,1,0.500000,0.700000,20,100,500,0.500000,0.544511,0.264420,0.312330,0.202661
3,1,0.500000,0.700000,25,100,500,0.500000,0.749457,0.415913,0.347731,0.236535
3,1,0.500000,0.700000,30,100,500,0.500000,0.977780,0.568664,0.399657,0.292355
4,1,0.500000,0.700000,5,50,500,0.500000,0.226131,0.117361,0.518204,0.454787
4,1,0.500000,0.700000,10,50,500,0.500000,0.538283,0.287204,0.425934,0.297944
4,1,0.500000,0.700000,15,50,500,0.500000,0.989302,0.626575,0.510305,0.366755
4,1,0.500000,0.700000,20,50,500,0.500000,1.688320,1.393900,0.690972,0.584460
4,1,0.500000,0.700000,25,50,500,0.500000,2.875000,2.642655,1.031785,1.006442
4,1,0.500000,0.700000,30,50,500,0.500000,5.807371,7.309392,1.840710,1.932531
4,1,0.500000,0.700000,5,100,500,0.500000,0.104961,0.050464,0.463266,0.423833
4,1,0.500000,0.700000,10,100,500,0.500000,0.228568,0.097144,0.300881,0.228637
4,1,0.500000,0.700000,15,100,500,0.500000,0.371870,0.160714,0.292974,0.197050
4,1,0.500000,0.700000,20,100,500,0.500000,0.537538,0.255389,0.307388,0.199131
4,1,0.500000,0.700000,25,100,500,0.500000,0.746382,0.409710,0.342924,0.238100
4,1,0.500000,0.700000,30,100,500,0.500000,0.987982,0.667823,0.401000,0.314490
5,1,0.500000,0.700000,5,50,500,0.500000,0.230243,0.121060,0.519941,0.461432
5,1,0.500000,0.700000,10,50,500,0.500000,0.543578,0.286337,0.430837,0.301429
