Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.900000,0.827190,5,50,10,0.100000,7.155179,20.814481,3.247251,4.003706
0,1,0.900000,0.836280,5,50,10,0.100000,6.798185,16.296174,3.290297,4.247987
0,1,0.900000,0.845370,5,50,10,0.100000,7.971465,21.704516,3.302110,4.255386
0,1,0.900000,0.854460,5,50,10,0.100000,9.044254,26.154623,3.315158,4.291999
0,1,0.900000,0.863550,5,50,10,0.100000,10.723173,29.745598,3.386929,4.509074
0,1,0.900000,0.872640,5,50,10,0.100000,10.955076,30.271577,3.403803,4.736925
0,1,0.900000,0.881730,5,50,10,0.100000,18.702760,66.523260,3.469466,5.065549
0,1,0.900000,0.890820,5,50,10,0.100000,21.330379,80.943978,3.503494,5.433532
1,1,0.900000,0.827190,5,50,10,0.100000,5.843725,12.553647,3.241756,3.991910
1,1,0.900000,0.836280,5,50,10,0.100000,7.126621,17.097511,3.291386,4.336957
1,1,0.900000,0.845370,5,50,10,0.100000,7.592385,17.371559,3.294432,4.164520
1,1,0.900000,0.854460,5,50,10,0.100000,9.574758,24.604153,3.369948,4.442402
1,1,0.900000,0.863550,5,50,10,0.100000,9.962430,34.160789,3.369102,4.393625
1,1,0.900000,0.872640,5,50,10,0.100000,11.331539,31.816100,3.421200,4.867258
1,1,0.900000,0.881730,5,50,10,0.100000,17.550890,54.313597,3.483590,5.704163
1,1,0.900000,0.890820,5,50,10,0.100000,19.201807,58.733916,3.478843,5.210682
2,1,0.900000,0.827190,5,50,10,0.100000,5.826531,11.688677,3.233940,4.042871
2,1,0.900000,0.836280,5,50,10,0.100000,6.352119,13.680021,3.252731,4.094384
2,1,0.900000,0.845370,5,50,10,0.100000,6.792318,14.645946,3.275851,4.088913
2,1,0.900000,0.854460,5,50,10,0.100000,8.716515,21.598442,3.352712,4.550242
2,1,0.900000,0.863550,5,50,10,0.100000,8.574265,18.911700,3.330990,4.279193
2,1,0.900000,0.872640,5,50,10,0.100000,17.872804,78.317489,3.452559,5.026492
2,1,0.900000,0.881730,5,50,10,0.100000,20.312137,73.831658,3.424577,5.059637
2,1,0.900000,0.890820,5,50,10,0.100000,24.970945,100.126260,3.444281,5.083054
3,1,0.900000,0.827190,5,50,10,0.100000,6.109464,16.147307,3.239491,4.035011
3,1,0.900000,0.836280,5,50,10,0.100000,6.638847,15.392155,3.247189,4.009728
3,1,0.900000,0.845370,5,50,10,0.100000,6.779458,13.991339,3.271912,4.171738
3,1,0.900000,0.854460,5,50,10,0.100000,9.355565,23.366446,3.359759,4.409001
3,1,0.900000,0.863550,5,50,10,0.100000,10.256990,27.864368,3.360686,4.329231
3,1,0.900000,0.872640,5,50,10,0.100000,14.432597,51.289773,3.457247,4.933498
3,1,0.900000,0.881730,5,50,10,0.100000,15.152501,42.801959,3.471303,5.026730
3,1,0.900000,0.890820,5,50,10,0.100000,23.011512,91.902728,3.471503,5.402091
4,1,0.900000,0.827190,5,50,10,0.100000,6.076803,12.694401,3.215813,3.890107
4,1,0.900000,0.836280,5,50,10,0.100000,6.543314,14.441639,3.266438,4.123449
4,1,0.900000,0.845370,5,50,10,0.100000,7.916610,20.068803,3.282245,4.237062
4,1,0.900000,0.854460,5,50,10,0.100000,8.083493,17.725500,3.322000,4.283703
4,1,0.900000,0.863550,5,50,10,0.100000,12.153328,42.670001,3.391784,4.828302
4,1,0.900000,0.872640,5,50,10,0.100000,14.050142,48.398337,3.458079,5.169263
4,1,0.900000,0.881730,5,50,10,0.100000,16.858430,52.072137,3.489107,4.984099
4,1,0.900000,0.890820,5,50,10,0.100000,31.682290,123.779174,3.455799,5.323669
5,1,0.900000,0.827190,5,50,10,0.100000,5.668373,11.345258,3.230174,4.018666
5,1,0.900000,0.836280,5,50,10,0.100000,6.751930,14.378628,3.280020,4.195573
5,1,0.900000,0.845370,5,50,10,0.100000,7.468493,19.931636,3.276421,4.125890
5,1,0.900000,0.854460,5,50,10,0.100000,8.831995,24.302800,3.337164,4.554522
5,1,0.900000,0.863550,5,50,10,0.100000,9.360171,26.770897,3.362248,4.420089
5,1,0.900000,0.872640,5,50,10,0.100000,13.283602,42.195906,3.364609,4.461731
5,1,0.900000,0.881730,5,50,10,0.100000,24.221869,96.083404,3.452284,5.574179
5,1,0.900000,0.890820,5,50,10,0.100000,24.898193,93.952360,3.490624,5.321675
6,1,0.900000,0.827190,5,50,10,0.100000,5.929880,12.565077,3.243970,4.016699
6,1,0.900000,0.836280,5,50,10,0.100000,7.513665,19.596618,3.301387,4.319393
6,1,0.900000,0.845370,5,50,10,0.100000,7.594430,17.250570,3.315280,4.403954
6,1,0.900000,0.854460,5,50,10,0.100000,10.332243,28.208694,3.363489,4.362011
6,1,0.900000,0.863550,5,50,10,0.100000,10.708550,31.275675,3.399683,4.653163
6,1,0.900000,0.872640,5,50,10,0.100000,13.934866,41.532808,3.412103,4.664319
6,1,0.900000,0.881730,5,50,10,0.100000,20.661719,82.837437,3.488061,5.270307
6,1,0.900000,0.890820,5,50,10,0.100000,34.740907,139.751403,3.482276,5.812650
7,1,0.900000,0.827190,5,50,10,0.100000,5.753812,11.679743,3.251322,4.085129
7,1,0.900000,0.836280,5,50,10,0.100000,7.188669,16.989123,3.287879,4.394705
7,1,0.900000,0.845370,5,50,10,0.100000,7.058324,16.055081,3.280291,4.177320
7,1,0.900000,0.854460,5,50,10,0.100000,7.396861,16.932386,3.290616,4.278621
7,1,0.900000,0.863550,5,50,10,0.100000,11.503382,35.056002,3.423484,4.716908
7,1,0.900000,0.872640,5,50,10,0.100000,11.810423,35.405248,3.418129,4.646801
