Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,AvgQDelay,StdQDelay,AvgDDelay,StdDDelay
0,1,0.500000,0.700000,5,50,500,0.500000,0.227750,0.117525,0.492054,0.432537
0,1,0.500000,0.700000,10,50,500,0.500000,0.535753,0.288816,0.381837,0.270061
0,1,0.500000,0.700000,15,50,500,0.500000,0.965250,0.619703,0.407183,0.292833
0,1,0.500000,0.700000,20,50,500,0.500000,1.716681,1.544772,0.493280,0.427165
0,1,0.500000,0.700000,25,50,500,0.500000,2.794300,2.755181,0.607029,0.594319
0,1,0.500000,0.700000,30,50,500,0.500000,5.605625,8.343573,0.841018,1.531563
0,1,0.500000,0.700000,5,100,500,0.500000,0.106824,0.050604,0.443510,0.416005
0,1,0.500000,0.700000,10,100,500,0.500000,0.227698,0.094123,0.293786,0.224321
0,1,0.500000,0.700000,15,100,500,0.500000,0.370044,0.161068,0.265201,0.173739
0,1,0.500000,0.700000,20,100,500,0.500000,0.537229,0.247516,0.274596,0.175288
0,1,0.500000,0.700000,25,100,500,0.500000,0.745686,0.410286,0.293448,0.207090
0,1,0.500000,0.700000,30,100,500,0.500000,0.968327,0.608394,0.319173,0.236927
1,1,0.500000,0.700000,5,50,500,0.500000,0.230478,0.120718,0.496591,0.438663
1,1,0.500000,0.700000,10,50,500,0.500000,0.534355,0.290584,0.380663,0.271357
1,1,0.500000,0.700000,15,50,500,0.500000,0.980445,0.640422,0.406804,0.305152
1,1,0.500000,0.700000,20,50,500,0.500000,1.649417,1.353901,0.488920,0.429780
1,1,0.500000,0.700000,25,50,500,0.500000,2.902517,3.282555,0.610583,0.655539
1,1,0.500000,0.700000,30,50,500,0.500000,5.495277,8.132271,0.778454,0.913471
1,1,0.500000,0.700000,5,100,500,0.500000,0.107660,0.051297,0.452314,0.421867
1,1,0.500000,0.700000,10,100,500,0.500000,0.230635,0.098909,0.286573,0.221336
